Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?
2MASS J16533670-3855165,,J16533670-3855165,253.40291666666667,-38.921388888888885,44.81,3.28,M7,,,,,,13.98,13.28,12.84,,,,,,,,,,2012.0,UNCON,
2MASS J11192624-4815167,,J11192624-4815167,169.85916666666665,-48.25472222222222,71.9,5.31,M7,,,,,18.55,15.06,14.4,13.93,,,,,,,,,,2012.0,UNCON,
2MASS J16532340-6424077,,J16532340-6424077,253.3475,-64.40222222222222,,,M7,,,,,18.2,15.35,14.61,14.11,,,,,,,,,,2012.0,UNCON,
2MASS J15515922-4051571,,J15515922-4051571,237.99666666666667,-40.865833333333335,,,M7,,,,,18.38,15.45,14.79,14.36,,,,,,,,,,2012.0,UNCON,
2MASS J02501167-0151295,,J02501167-0151295,42.54875,-1.8583333333333334,,,M7,,,,,,12.89,,,,,,,2800,1.91,23.0,,,,,
2MASS J210501.30-053350.5,,J210501.30-053350.5,316.2554166666667,-5.564166666666667,,,M7,,,,,,16.32,15.65,15.28,,,,,,,,,,,,
2MASS J14334194-5148037,,J14334194-5148037,218.42458333333335,-51.801111111111105,50.31,0.77,M7,,,19.7,,17.44,14.21,13.57,13.11,,,,,,,,,,2012.0,UNCON,
2MASS J08143545-4020492,,J08143545-4020492,123.64791666666666,-40.346944444444446,51.43,2.4,M7,,,,,,14.36,13.65,13.19,,,,,,,,,,2012.0,UNCON,
2MASS J08191824-3944563,,J08191824-3944563,124.82583333333334,-39.74888888888889,,,M7,,,21.07,,19.23,15.78,15.17,14.59,,,,,,,,,,2012.0,UNCON,
USco 128,,,239.7975,-23.633333333333333,145.0,,M7,,,,,,,,,,,,,2500,,,,,,,
2MASS J12405746-6549554,,J12405746-6549554,190.23958333333334,-65.83194444444445,53.51,7.78,M7,,,,,17.35,14.48,13.78,13.33,,,,,,,,,,2012.0,UNCON,
2MASS J08280671-3549063,,J08280671-3549063,127.02791666666667,-35.818333333333335,77.74,2.67,M7,,,,,18.14,15.16,14.48,14.03,,,,,,,,,,2012.0,UNCON,
2MASS J08323553-3310372,,J08323553-3310372,128.14791666666667,-33.176944444444445,91.32,1.09,M7,,,,,18.54,15.49,14.77,14.26,,,,,,,,,,2012.0,UNCON,
2MASS J13142039+1320011,,J13142039+1320011,198.585,13.33361111111111,16.4,0.8,M7,15.9,,14.9,,11.4,9.75,9.18,8.8,8.79,,,,,,,,,,UNCON,
2MASS J12012860-6007478,,J12012860-6007478,180.36916666666667,-60.13,85.73,3.67,M7,,,,,,15.36,14.47,13.91,,,,,,,,,,2012.0,UNCON,
