Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
2MASS J17422164-0856024,,J17422164-0856024,265.59,-8.93388888888889,54.47,24.12,L1,,,21.09,,19.27,15.79,15.09,14.5,,,,,,,,,,2012.0,,,265.58946085979,-8.93332910405,0.0247863,0.0173767,75.67,4165212215117657856,265.5894595852,1.3182,-8.93336561445,1.0229,0.3544,1.5471,0.2291,8.22,-0.283,1.51,-8.215,1.074,182,0.6362,198.24,1.58,0.4494,95,1.5854,0.2828,13,1.032,false,90.372,1.00426,20.797283,52.1567,7.47899,21.045267,67.7787,20.170162,1.327,0.875105,,,0,,,97282655894450422,,,,0.012376,0.155714,0.161022,20.801034,0.012417,90.0603,0.121,24.397,17.9192,0.1714,2.781618
SDSS J112210.27+340432.5,,,170.54291666666666,34.075833333333335,48.5,9.3,L1,,,,20.66,,16.12,15.3,14.74,,,,,,,,,,2010.0,,,170.54252898114,34.07540846982,0.006818,0.0041606,10.61,759212164799546368,170.54252898114,4.2778,34.07540846982,6.7451,,,,,,,,,51,2.7996,77.47,6.195,2.762,3,,,5,,false,73.0655,1.66718,21.028086,374.148,624.422,18.905933,104.752,19.69749,6.554,-0.791557,,,0,,,,,,,0.024927,1.812004,0.287564,21.028086,0.024927,73.0655,5.407,4.2778,6.7451,0.183,1.917238
2MASS J03453136+2452476 A,x,J03453136+2452476,56.380833333333335,24.88,136.2,1.2,L1,,,,,18.35,15.43,14.73,14.36,,,,,,,47.0,,,,,,56.38066175671,24.87990328748,0.0104901,0.0077752,71.21,69816102146573440,56.38075926465,0.4831,24.87970959292,0.3946,6.9117,0.5227,13.2221,47.911,19.903,0.639,-43.581,0.515,258,3.8502,405.82,2.486,5.155,95,0.9665,0.1237,16,1.175,false,195.904,0.944895,19.957262,55.1013,9.98622,20.985638,347.726,18.3948,2.056,2.590838,,,0,,,137850563807446238,,,,0.005917,0.196792,0.028144,19.938039,0.005836,199.403,0.636,10.242,8.0992,0.1823,0.659705
SDSS J125230.79+183506.0,,,193.12833333333333,18.584999999999997,109.9,21.2,L1,,,,20.62,,16.31,15.23,14.72,,,,,,,,,,2010.0,,,193.12801032632,18.584930316,0.0118169,0.0025249,86.2,3941062059530444544,193.12801032632,11.7922,18.584930316,2.638,,,,,,,,,44,0.7057,44.83,3.058,0.5428,3,,,4,,false,66.4181,1.24203,21.13165,27.1691,7.46613,21.753353,121.56,19.535921,2.239,2.217432,,,0,,,,,,,0.020489,0.298376,0.132772,21.13165,0.020489,66.4181,0.874,11.7922,2.638,0.283,1.130375
SDSS J113344.68+131126.4,,,173.43625,13.190555555555555,50.7,9.7,L1,,,,20.11,,15.7,14.93,14.42,,,,,,,,,,2010.0,,,173.43637769736,13.19077340797,0.0239669,0.0151701,140.05,3917930950515862272,173.43532778838,1.0245,13.19017365536,1.3493,17.92,1.5784,11.3533,266.662,-229.997,1.211,-134.945,1.345,136,1.6822,179.95,3.505,2.726,95,1.0437,0.2383,13,1.103,false,121.187,1.08899,20.478727,52.2502,20.1128,21.043322,212.681,18.928574,2.186,2.114748,,,0,,,123821734357258727,1237661813880521381,,,0.010138,0.417945,0.064066,20.46791,0.010045,122.4,0.835,19.2898,20.7954,-0.4225,0.902999
SDSS J2335583-001304 A,x,J23355849-0013042,353.99375,-0.2177777777777778,62.0,,L1,,,,19.35,18.9,15.98,15.2,,14.71,,,,,,83.0,,,2003.0,UNCON,,353.99384383095,-0.21780205469,0.0153374,0.0105429,81.53,2644353158750914944,353.99376733688,0.6898,-0.21791961359,0.5833,7.5184,0.8203,9.1654,31.557,-17.211,0.948,-26.451,0.666,183,2.1251,242.23,2.305,2.001,95,0.9302,0.1443,14,1.113,false,137.705,0.912009,20.339993,55.2552,18.6142,20.982609,244.118,18.778894,2.174,2.203714,,,0,,,107733539938048977,1237663783657866300,8680739,,0.007701,0.36577,0.050688,20.327597,0.007624,139.286,0.81,15.2494,10.6697,0.111,0.348912
SDSS J162834.35+242847.2,,,247.14333333333335,24.47972222222222,57.3,10.9,L1,,,,20.12,,15.9,15,14.48,,,,,,,,,,2010.0,,,247.14313168495,24.47990929948,0.0134316,0.0077931,26.93,1302285829913797632,247.14330940881,0.4057,24.47947346607,0.5805,19.0322,0.8433,22.5698,104.598,36.393,0.575,-98.063,0.777,543,3.1703,758.96,3.042,4.031,95,1.1174,0.134,24,1.098,false,107.675,0.569602,20.607077,35.652,3.60135,21.458332,178.9,19.116373,1.993,2.341959,,,0,,,137372471432595807,1237662640660546820,,,0.00637,0.10971,0.044042,20.592214,0.0063,109.159,0.609,9.2348,12.4843,0.4192,0.943434
SDSS J002611.45-094341.1,,,6.547916666666667,-9.728055555555555,61.9,11.8,L1,,,,19.98,,15.6,15,14.38,,,,,,,,,,2010.0,,,6.54773819913,-9.72801510117,0.017638,0.0121787,61.47,2426636872764826112,6.54677664721,0.7422,-9.72869786983,0.5833,17.9249,1.048,17.1047,262.813,-213.238,1.025,-153.623,0.852,214,0.8946,256.79,1.245,0.5791,95,1.043,0.1469,15,1.043,false,122.538,1.04166,20.466692,37.4683,5.22442,21.40438,231.399,18.836992,2.194,2.567389,,,0,,,,1237652947991593887,12910743,,0.009632,0.151416,0.035145,20.44787,0.00948,124.68,0.778,16.5516,13.6184,0.3031,0.649776
2MASS J16311501-2432436 B,x,J16311501-2432436,247.8125,-24.545555555555556,,,L1,,,,,,,,,,,,,,,10.0,140.0,,2014.0,,,247.81257635834,-24.54547640136,7.003E-4,4.676E-4,112.75,6047587937321868288,247.81254835295,0.0287,-24.54558025196,0.0187,6.8284,0.0309,220.7634,24.059,-5.732,0.041,-23.366,0.032,232,19.8653,982.28,0.186,25.97,31,,,15,2.063,false,109238.0,380.793,13.091431,20879.8,285.008,14.539227,137616.0,11.90122,1.451,2.638006,1.13,7.97,7,4000.0,3.0,78542478125605693,,170916598,,0.004681,0.015081,0.010039,13.091431,0.004681,109238.0,0.024,0.6707,0.5092,-0.2838,0.379109
SDSS J112706.62+470548.1,,,171.7775,47.09666666666667,31.7,6.1,L1,,,,19.57,,15.2,14.5,13.91,,,,,,,,,,2010.0,,,171.77753387253,47.09671974131,0.0064436,0.005721,2.44,785733068161334656,171.77717445037,0.2558,47.09655527332,0.3435,23.7579,0.5322,44.6428,66.334,-55.053,0.355,-37.005,0.407,484,4.0107,712.87,1.844,4.194,95,0.9933,0.0875,21,1.132,false,198.592,0.718128,19.942465,46.1597,8.52297,21.177883,362.966,18.34823,2.06,2.829653,,,0,,,164511717773266589,1237660636000223865,,,0.004796,0.200491,0.023549,19.919352,0.004729,202.865,0.605,5.7224,6.4424,0.0101,0.208323
SDSS J114805.02+020350.9,,J11480502+0203509,177.02083333333334,2.0641666666666665,51.0,3,L1,,22.27,,19.93,,15.52,15.01,14.51,,,,,,,,,,2002.0,,,177.02090881552,2.06419143143,0.0152202,0.0102892,101.7,3796518993926394624,177.02178876078,0.87,2.06266152325,0.5608,18.4863,1.1048,16.732,397.042,197.859,0.942,-344.229,0.663,179,1.4064,225.2,1.857,1.727,95,1.1129,0.1304,12,1.075,false,152.402,3.58907,20.22989,34.8897,9.77241,21.4818,282.537,18.620209,2.083,2.861591,,,0,,,110471770218005722,1237671129126666465,111840774,,0.025717,0.304121,0.037387,20.20629,0.025171,155.751,0.622,15.0493,10.5376,-0.1575,0.28582
2MASS J04414565+2301580 Bb,x,J04414489+2301513 B,70.44041666666666,23.032777777777778,145.0,15,L1,,,,,,,15.48,14.7,,,,,1800,,10.0,15.0,,,,,70.44020763123,23.03278479463,0.0013967,9.851E-4,87.46,146487560507840768,70.44024585243,0.0628,23.03268663294,0.0347,8.0887,0.0713,113.4462,23.462,7.914,0.087,-22.086,0.061,354,57.0924,5002.29,0.531,171.5,31,,,17,3.811,false,56236.3,48.5751,13.812326,9227.67,54.6609,15.425813,74483.7,12.567743,1.489,2.858069,,,0,,,135630704402249829,,,566040427,0.002911,0.007011,0.004404,13.812326,0.002911,56236.3,0.029,1.396,0.9861,0.0315,0.692997
2MASS J17473886-4731075,,J17473886-4731075,266.9120833333333,-47.51888888888889,43.41,18.86,L1,,,,,18.79,15.3,14.59,14.12,,,,,,,,,,2012.0,,,266.91193470612,-47.51876500747,0.0081272,0.0058391,83.4,5947985859030999936,266.9122451613,0.4239,-47.51871770619,0.3714,19.1629,0.4778,40.1072,48.36,47.175,0.502,10.643,0.352,296,2.082,399.46,1.782,3.296,95,1.0604,0.1013,17,1.087,false,209.04,0.988587,19.886795,22.109,3.75873,21.97712,375.703,18.310785,1.903,3.666334,,,0,,,,,362719587,,0.005827,0.184606,0.022668,19.861204,0.005722,214.025,0.327,8.1012,5.8752,0.0767,0.573991
2MASS J17561080+2815238,,,269.045,28.256666666666668,,,L1,,,,,,14.71,14.14,13.81,,13.38,13.07,,,,,,,,,,269.04487770366,28.25651505855,0.0049474,0.0039957,171.03,4584405146372926720,269.04177845713,0.185,28.2546746409,0.2319,28.9379,0.272,106.3882,740.786,-614.234,0.25,-414.102,0.306,448,4.7204,686.03,1.521,5.23,95,1.1699,0.0596,29,1.162,false,333.487,0.910379,19.37967,45.2554,6.34643,21.199366,607.839,17.788425,1.958,3.41094,,,0,,,141902690426046791,,,,0.004047,0.152285,0.015346,19.354079,0.003997,341.441,0.418,4.0216,4.9264,-0.0662,0.669535
WISE J170726.69+545109.3,,,256.86125,54.8525,63.5,4.5,L1,,,,,,,,,,,,,,,,,,2015.0,,,256.86082361372,54.85222425385,0.0016243,0.0012333,116.26,1420254051660478336,256.86082361372,1.5555,54.85222425385,1.319,,,,,,,,,102,1.6043,120.33,2.453,0.5702,3,,,10,,false,75.8555,1.16771,20.9874,37.2705,16.6689,21.410128,159.963,19.237846,2.6,2.172281,,,0,,,,,,,0.016939,0.485595,0.064126,20.9874,0.016939,75.8555,1.241,1.5555,1.319,-0.216,1.329023
