Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
SDSS J085214.41+094048.0,,J08521442+0940480,133.06,9.68,45.1,8.6,L0,,23.04,,20.28,,16.08,15.36,14.91,,,,,,,,,,2008.0,,,133.06010514248,9.67999751476,0.0278388,0.0148667,122.92,597632402747892864,133.05991440521,1.0315,9.67994688981,0.6684,9.8776,1.5562,6.3474,43.812,-42.305,1.539,-11.391,1.216,358,4.7439,513.21,4.08,3.785,95,0.91,0.2051,15,1.183,false,93.2424,0.696247,20.763332,60.6037,10.1042,20.882294,170.626,19.167782,2.48,1.714512,,,0,,,119611330599246412,1237664286708925485,,,0.008563,0.181041,0.060848,20.759193,0.008533,93.5985,1.183,24.7256,19.6128,-0.5212,0.373231
SDSS J140633.17+360449.2,,J14063322+3604498,211.63833333333332,36.08027777777778,44.5,8.5,L0,,23.1,,20.61,,16.31,15.89,15.21,,,,,,,,,,2008.0,,,211.63759780262,36.08031271083,0.00151,7.546E-4,34.48,1482660751105276672,211.63759780262,1.0572,36.08031271083,1.316,,,,,,,,,183,3.0475,241.1,3.894,2.463,3,,,11,,false,69.4621,0.890676,21.082998,39.2061,5.78834,21.35516,114.838,19.59768,2.218,1.757481,,,0,,,,,,,0.014192,0.160321,0.076686,21.082998,0.014192,69.4621,0.915,1.0572,1.316,0.5738,2.143713
SDSS J085602.05+124014.3,,,134.00875,12.670555555555556,48.1,9.2,L0,,,,19.78,,15.45,14.67,14.28,,,,,,,,,,2010.0,,,134.00869224269,12.67080883322,0.0129792,0.0075709,100.52,605080765097481856,134.0081079006,0.5462,12.67050230441,0.2633,16.8242,0.7368,22.8346,145.641,-128.275,0.79,-68.969,0.485,472,1.4544,577.13,1.506,1.692,95,1.0935,0.1137,18,1.047,false,148.419,0.616282,20.258646,33.2368,3.4242,21.534492,254.685,18.732885,1.94,2.801607,,,0,,,123201340082605169,1237670964845937372,,,0.005284,0.111892,0.02685,20.235968,0.005204,151.551,0.488,12.8358,7.8116,-0.1989,0.934094
SDSS J140601.48+524930.9,,J14060148+5249309,211.50625,52.82527777777778,64.4,12.3,L0,,21.82,,19.44,,15.56,14.97,14.56,,,,,,,,,,2008.0,,,211.50625034451,52.82522162126,0.0121526,0.0100544,25.22,1512892849808507520,211.50580459823,0.4831,52.82515330808,0.5369,15.8964,0.6231,25.5109,62.521,-60.602,0.657,-15.371,0.737,323,2.3228,422.2,2.973,3.924,95,1.2183,0.161,25,1.093,false,130.152,0.772186,20.401241,37.8078,6.51353,21.394588,237.626,18.808159,2.116,2.58643,,,0,,,171392115058920912,1237659133280715581,,,0.007006,0.187071,0.039254,20.382093,0.006903,132.467,0.697,10.4666,11.7994,0.1454,0.202165
SDSS J140444.86+463430.4,,J14044495+4634297,211.1875,46.575,25.6,4.9,L0,,,,18.66,,14.34,13.53,13.06,,,,,,,,,,2007.0,,,211.18725077076,46.57496856321,0.00499,0.0039857,23.68,1506265719566527488,211.18567592253,0.2298,46.57556558943,0.2464,25.4438,0.3117,81.639,278.16,-243.576,0.261,134.328,0.305,470,17.0156,1491.68,2.638,23.03,95,1.0868,0.0715,28,1.607,false,406.195,1.15413,19.16553,35.5302,4.28923,21.46205,790.153,17.503618,2.033,3.958431,,,0,,,,1237661150846320687,,683231383,0.004136,0.131101,0.011359,19.139939,0.004083,415.883,0.418,4.1641,4.8421,0.1645,0.627054
SDSS J140442.38-022426.0,,J14044237-0224261,211.17666666666668,-2.407222222222222,63.4,12.2,L0,,22.79,,20.27,,16.19,15.44,15,,,,,,,,,,2008.0,,,211.17663502685,-2.4072258021,0.0323362,0.0280816,120.98,3647162567065806848,211.17650087525,1.2964,-2.40733312018,1.1642,14.462,1.3828,10.4583,38.633,-30.157,1.973,-24.147,1.857,105,3.6169,163.49,3.936,2.295,95,1.3101,0.3699,11,1.264,false,92.6705,1.02081,20.770014,26.5676,6.11348,21.777662,144.242,19.350168,1.843,2.427494,,,0,,,105112111765611642,1237655498667721594,110291069,,0.012273,0.249855,0.062327,20.753633,0.012099,94.0793,0.447,31.2651,29.2695,-0.124,0.11453
2MASS J09053033-4918382 B,x,J09053033-4918382,136.37625,-49.31055555555555,33.0,,L0,,,,,,,,,,,,,,,,138.1,5133.0,2012.0,UNCON,,136.37708865109,-49.31089336527,0.0031606,0.0027777,44.47,5326655312793558656,136.37708865109,2.9718,-49.31089336527,2.9788,,,,,,,,,337,1467.9603,1.9660502E7,36.994,1223000.0,3,,,25,,false,135206.0,1758.11,12.859876,34735.0,135.767,13.986623,260733.0,11.207406,2.185,2.779217,,,0,,,,,440200554,,0.014384,0.005079,0.004131,12.859876,0.014384,135206.0,0.737,2.9718,2.9788,0.1284,2.313728
SDSS J085836.97+271050.8,,J08583693+2710518,134.65375,27.18111111111111,47.8,9.1,L0,,22.05,,19.45,,15.05,14.23,13.66,,,,,,,,,,2008.0,,,134.65394811803,27.18105664259,0.0132548,0.0078002,112.84,692611412610605440,134.65437825867,0.6532,27.18014768089,0.3614,17.8885,0.8615,20.7641,221.899,86.094,0.776,-204.517,0.548,376,8.5914,742.17,3.466,11.51,95,1.1353,0.1344,17,1.331,false,206.051,0.806006,19.902428,36.3753,5.52302,21.436525,373.156,18.318169,1.988,3.118357,,,0,,,140611346542977029,1237664837540643179,,,0.005063,0.164875,0.026919,19.876837,0.00498,210.966,0.489,12.585,8.8402,-0.3693,0.664072
SDSS J140347.84+351313.1,,J14034793+3513125,210.94916666666666,35.22027777777778,83.9,16.1,L0,,24.19,,20.54,,16.41,16.13,15.46,,,,,,,,,,2008.0,,,210.94819336172,35.2204388568,0.0018283,0.001666,174.15,1482219537705095808,210.94819336172,1.6678,35.2204388568,1.8267,,,,,,,,,104,4.5695,177.24,7.297,7.593,3,,,9,,false,70.7274,1.1555,21.063398,20.511,4.60427,22.058575,120.628,19.544273,1.996,2.514301,,,0,,,,,,,0.017951,0.24374,0.088905,21.063398,0.017951,70.7274,0.587,1.6678,1.8267,-0.0189,2.920621
SDSS J085938.50+634133.5,,J08593854+6341355,134.91041666666666,63.69333333333333,25.0,3,L0,,,,17.95,,13.7,12.89,12.39,,12.0,11.75,11.43,,,,,,2006.0,,,134.91061205014,63.6931701344,0.0026281,0.0022445,15.13,1044279864474742272,134.90962574812,0.0951,63.69097619928,0.1205,45.4508,0.1708,266.0504,503.338,-98.349,0.139,-493.636,0.159,812,-3.7471,1214.98,0.808,7.237,95,0.9231,0.0252,24,0.908,false,826.581,0.978658,18.394154,52.791,4.69365,21.032143,1491.49,16.813845,1.868,4.218298,,,0,,,184431349096630126,1237663787961483497,,769192331,0.00304,0.096573,0.00675,18.368563,0.003028,846.295,0.218,2.2727,2.6038,0.0796,0.665091
SDSS J085959.77+292205.3,,J08595976+2922053,134.99916666666667,29.368055555555557,66.1,12.6,L0,,22.52,,20.2,,15.8,14.95,14.62,,,,,,,,,,2008.0,,,134.99905669159,29.36815944993,0.0288585,0.0112981,133.21,693519570561368576,134.99912508906,1.1281,29.36771308164,0.6607,16.6863,1.725,9.6734,101.324,13.412,1.382,-100.433,1.321,469,5.9196,764.91,3.264,5.586,95,1.2093,0.1474,15,1.2,false,106.566,0.570618,20.618324,48.1895,6.23173,21.13116,195.415,19.020498,2.286,2.110663,,,0,,,143241349990912046,1237664094512350115,,,0.006434,0.140432,0.039901,20.607579,0.006382,107.625,0.936,22.4104,21.4064,-0.7335,0.508858
SDSS J090154.72+381837.5,,J09015471+3818377,135.47791666666666,38.31055555555555,54.6,10.4,L0,,22.06,,19.5,,15.31,14.57,14.09,,,,,,,,,,2008.0,,,135.4780514632,38.31046162192,0.0102196,0.0060163,125.68,719191517802059520,135.47824677029,0.4473,38.3101589899,0.3415,17.4718,0.5619,31.0938,76.325,34.481,0.561,-68.092,0.476,299,0.4776,350.03,0.942,0.7986,95,1.0301,0.1033,18,1.019,false,,,,,,,354.003,18.37538,,,,,0,,,153971354781562963,1237657874863948084,,,,,0.023015,,,,,9.0124,7.7079,-0.4654,0.509254
SDSS J090238.98+301840.3,,J09023900+3018407,135.6625,30.311111111111114,73.6,14.1,L0,,22.4,,20.11,,16.24,15.44,15.05,,,,,,,,,,2008.0,,,135.66253940672,30.3112870834,0.0360056,0.0108876,136.7,699591211208974336,135.66229745548,0.9738,30.31118693416,0.7646,5.7065,1.2911,4.4198,52.12,-46.997,1.609,-22.534,1.712,466,3.9059,609.38,3.213,10.48,95,1.3164,0.1597,13,1.131,false,103.423,0.564157,20.650826,34.499,3.6112,21.494026,184.83,19.080961,2.121,2.413065,,,0,,,144371356624224106,1237661124542726929,,,0.006532,0.113684,0.031284,20.6347,0.006453,104.97,0.727,25.9351,27.2454,-0.832,0.64523
SDSS J135955.19+324719.0,,,209.98,32.78861111111111,34.4,6.6,L0,,,,19.81,,15.58,14.82,14.31,,,,,,,,,,2010.0,,,209.98006508523,32.78870324321,0.0139339,0.0102258,11.14,1457702627432818048,209.97966204807,0.6567,32.78837097631,0.658,13.7904,0.8494,16.2345,106.775,-76.235,0.679,-74.76,0.874,572,15.9127,1433.12,5.877,22.24,95,0.7201,0.1536,24,1.508,false,136.458,0.860458,20.349873,29.6568,4.05629,21.658234,284.019,18.614529,2.299,3.043705,,,0,,,147342099798456787,1237665102746157819,,,0.00738,0.148527,0.027129,20.324282,0.007232,139.712,0.811,10.3881,13.8133,0.1184,0.385756
SDSS J171113.52+232633.2,,J17111353+2326333,257.80625,23.4425,26.0,4.9,L0,,,,19.09,,14.5,13.67,13.06,,,,,,,,,,2007.0,,,257.80633841605,23.44256903701,0.0049892,0.0034008,12.62,4568719543555702272,257.80602338059,0.1591,23.44235637329,0.2421,30.8667,0.3056,101.02,80.739,-65.032,0.218,-47.849,0.303,604,0.9386,773.52,1.062,2.225,95,1.0309,0.0518,27,1.027,false,298.589,1.5344,19.499683,49.4421,5.99258,21.1033,512.19,17.974318,1.881,3.128983,,,0,,,136132578061711466,1237661386013934342,,,0.006223,0.131625,0.013033,19.474092,0.006106,305.71,0.381,3.4931,4.925,0.1652,0.383468
SDSS J093706.71+284705.6,,J09370672+2847056,144.27791666666667,28.785,65.1,30.6,L0,,22.96,,20.22,,15.8,15.29,14.68,,,,,,,,,,2008.0,,,144.2780363206,28.78491952403,0.0385441,0.0187771,118.37,696055216173539712,144.27785718663,1.5903,28.78477729914,1.2877,9.9273,1.5959,6.2205,47.664,-35.325,2.115,-32.001,1.469,281,3.6286,390.49,3.481,3.544,95,0.7687,0.2064,15,1.157,false,105.718,0.685615,20.626999,63.7742,13.065,20.826931,196.037,19.017052,2.458,1.809879,,,0,,,142541442779302348,1237665099001234386,,,0.007561,0.222446,0.045407,20.621364,0.007527,106.268,1.148,35.0699,24.6642,-0.5476,0.475879
SDSS J134322.51-030100.2,,,205.84375,-3.0166666666666666,46.1,8.8,L0,,,,20.39,,16.13,15.44,15.03,,,,,,,,,,2010.0,,,205.84378917575,-3.01682110084,0.0026729,0.00154,75.84,3634310203851690624,205.84378917575,2.619,-3.01682110084,1.63,,,,,,,,,124,4.1519,194.31,5.343,4.327,3,,,8,,false,84.6475,0.986524,20.86833,36.4363,10.9592,21.434708,135.701,19.41644,2.034,2.018269,,,0,,,104382058437800239,1237655493833130957,108034557,,0.01295,0.326575,0.080638,20.86833,0.01295,84.6475,0.696,2.619,1.63,0.2652,0.573524
SDSS J101304.34+071050.7,,J10130436+0710504,153.26833333333335,7.180555555555556,55.3,10.6,L0,,23.52,,20.51,,16.22,15.47,15.09,,,,,,,,,,2010.0,,,153.26816127176,7.18068500116,0.0046119,0.0030773,115.96,3873987005511696000,153.26816127176,4.3599,7.18068500116,3.425,,,,,,,,,44,0.3075,41.08,0.0,0.0,3,,,5,,false,78.9361,1.58176,20.944178,28.5159,7.66915,21.700825,133.771,19.43199,2.056,2.268835,,,0,,,116611532682287287,1237658424624677935,,,0.02193,0.292014,0.075942,20.944178,0.02193,78.9361,0.683,4.3599,3.425,-0.311,0.771264
SDSS J133132.98+340757.5,,J13313310+3407583,202.88791666666665,34.132777777777775,23.0,2,L0,,,,18.55,,14.33,13.4,12.89,,,,,,,,,,2002.0,,,202.88794911617,34.13283687693,0.0033291,0.0027499,75.75,1470080890679613696,202.88598040567,0.1927,34.13202507132,0.1751,34.7908,0.28,124.2657,409.635,-366.655,0.211,-182.66,0.178,563,2.1981,905.48,1.492,9.133,95,0.9646,0.0493,23,1.066,false,466.693,0.952132,19.014788,37.4425,4.41545,21.405128,841.222,17.43562,1.883,3.969509,,,0,,,148952028867859467,1237665129087238390,,,0.003535,0.128067,0.012076,18.989197,0.003503,477.824,0.267,3.2969,2.7884,0.0914,0.233699
SDSS J133132.83+623301.4,,J13313281+6233014,202.88666666666666,62.55027777777777,75.0,?,L0,,22.72,,20.22,,16.18,15.41,15.13,,,,,,,,,,2008.0,,,202.88676642184,62.5503699767,0.0497923,0.0227988,21.32,1665285401936738560,202.88667411584,1.2437,62.55011180646,1.8311,8.6148,1.4449,5.9621,58.872,-9.574,1.757,-58.088,2.878,127,3.3097,183.46,4.802,7.201,95,0.7347,0.3768,12,1.217,false,89.6069,1.01638,20.806513,41.8555,13.3572,21.284163,147.959,19.322542,2.118,1.96162,,,0,,,183062028867271026,1237655371439145826,,,0.01262,0.3465,0.075808,20.798358,0.01253,90.2825,0.789,27.9075,47.1193,0.5047,0.370908
SDSS J101517.63+075211.9,,J10151763+0752121,153.82333333333332,7.87,36.0,6.9,L0,,22.67,,19.94,,15.51,14.85,14.41,,,,,,,,,,2008.0,,,153.82333765673,7.86997866488,0.0013339,6.708E-4,146.09,3874132347205881600,153.82333765673,0.9294,7.86997866488,1.1685,,,,,,,,,118,2.6137,156.19,1.888,0.9897,3,,,8,,false,130.924,1.05731,20.394817,37.7516,9.48426,21.396204,208.915,18.94797,1.884,2.448235,,,0,,,117441538233684475,1237658491731116065,,,0.009191,0.272782,0.048403,20.394817,0.009191,130.924,0.485,0.9294,1.1685,-0.5668,0.078339
SDSS J133010.03+141113.3,,,202.54166666666666,14.186944444444444,60.3,11.5,L0,,,,20.44,,16.44,15.76,15.21,,,,,,,,,,2010.0,,,202.54126276564,14.18701927218,0.0028084,0.0012514,131.93,3740219085142293888,202.54126276564,2.2504,14.18701927218,2.095,,,,,,,,,113,1.8946,137.52,3.237,1.54,3,,,8,,false,83.4847,1.34535,20.883348,56.8895,10.9706,20.950962,158.871,19.245287,2.584,1.705675,,,0,,,,,,,0.017712,0.209393,0.067411,20.883348,0.017712,83.4847,1.289,2.2504,2.095,-0.6665,1.435204
SDSS J132937.21+035729.6,,J13293723+0357297,202.405,3.9583333333333335,49.7,9.5,L0,,22.91,,20.2,,16.04,15.15,15.05,,,,,,,,,,2008.0,,,202.40509164739,3.95822646503,0.0205459,0.0128245,98.94,3713102066090092416,202.4051552298,1.1279,3.95823550857,0.754,15.2341,1.3598,11.2031,14.416,14.272,1.273,2.035,0.788,245,4.7233,375.81,4.239,7.677,95,0.8431,0.2202,14,1.222,false,98.1449,0.735603,20.707697,39.9663,6.19967,21.334307,185.272,19.078373,2.295,2.255934,,,0,,,112752024051390348,1237655124480230434,,,0.008591,0.168445,0.045418,20.69437,0.008497,99.3571,0.924,20.3937,13.0651,-0.1485,0.50631
TVLM 213-2005,,J10212742+5055043,155.36416666666668,50.91777777777777,33.22,0.44,L0,16.2,,,,,13.39,12.74,,12.26,,,,,,,,,,,,155.36407812268,50.91789032392,0.0025688,0.0018622,162.29,847228998317017472,155.36134748015,0.0879,50.91808852597,0.0981,30.136,0.1398,215.5947,389.893,-387.335,0.122,44.588,0.155,495,7.5412,1214.13,0.943,18.48,95,1.1324,0.0258,23,1.25,false,1584.85,2.07195,17.687397,67.333,5.12071,20.767973,2806.53,16.127472,1.813,4.640501,,,0,,,169101553615732410,1237657590315417785,,705219630,0.003099,0.082618,0.00596,17.661806,0.003084,1622.65,0.104,1.9384,2.5118,-0.1864,0.452264
SDSS J102204.88+020047.5,,J10220489+0200477,155.52041666666668,2.013333333333333,37.88,16.5,L0,,20.8,,18.31,,14.03,13.4,12.9,,,,,,,,,,2008.0,,,155.52037447117,2.01327703243,0.0044582,0.0037749,142.82,3856498658891737728,155.51957459646,0.2172,2.01142324562,0.213,32.8059,0.2814,116.5923,454.229,-179.861,0.251,-417.102,0.262,164,-0.0146,206.41,0.475,0.6919,95,1.1097,0.0648,13,0.997,false,576.768,1.82325,18.784863,67.1661,11.8486,20.770666,1057.41,17.18729,1.95,3.583376,,,0,,,110411555197544582,1237651736283119838,,,0.004401,0.191553,0.01706,18.759272,0.004339,590.524,0.385,4.0379,4.2215,-0.1589,0.253233
SDSS J133257.73+325813.1,,J13325777+3258135,203.24083333333334,32.970555555555556,84.0,?,L0,,,,,,16.57,15.49,15.33,,,,,,,,,,2009.0,,,203.2404619079,32.97006587992,0.0030984,0.0017299,125.13,1469127068637725952,203.2404619079,2.7225,32.97006587992,2.2761,,,,,,,,,68,2.4478,93.79,4.34,1.407,3,,,6,,false,65.2261,1.60184,21.151314,36.2643,7.18776,21.439844,125.754,19.499096,2.484,1.940748,,,0,,,147562032405404836,,,,0.026806,0.215216,0.104007,21.151314,0.026806,65.2261,1.157,2.7225,2.2761,-0.5018,2.089495
HD 89744 B,x,J10221489+4114266,155.56208333333333,41.240833333333335,38.99,1.06,L0,,,,,,14.9,14.02,13.61,,13.06,12.76 >,12.02,2100,,78.0,2460.0,,2001.0,,,155.56196701501,41.24069843621,0.0110474,0.006955,71.63,804745827531820288,155.56126238278,0.4822,41.24007448078,0.3265,26.007,0.4713,55.1831,184.179,-119.215,0.647,-140.39,0.457,279,2.5133,411.21,1.474,3.061,95,0.9245,0.0957,18,1.108,false,273.723,1.02699,19.594088,45.8201,8.60264,21.185902,478.684,18.047773,1.916,3.138128,,,0,,,157481555615418969,,,657216202,0.004918,0.203864,0.019852,19.568497,0.00484,280.252,0.415,10.7109,7.4628,0.2757,0.578776
SDSS J102436.10+624514.0,,J10243609+6245140,156.15041666666667,62.75388888888889,62.0,?,L0,,22.64,,19.97,,15.68,15.04,14.45,,,,,,,,,,2008.0,,,156.15043761563,62.75388938817,0.0096742,0.0074327,24.29,1052245650122603776,156.14976641508,0.3916,62.75367503682,0.4252,12.0101,0.5867,20.4697,84.299,-69.139,0.49,-48.229,0.581,443,2.2311,555.45,2.109,2.702,95,0.9681,0.1179,28,1.076,false,132.193,0.647773,20.38435,47.3588,6.56767,21.15004,237.948,18.80669,2.158,2.34335,,,0,,,183301561499275247,1237651067347600216,,,0.005991,0.150595,0.030711,20.369463,0.005927,134.018,0.775,7.8572,9.3327,0.1961,0.034573
DENIS-P J132335.9-180638,,J13233597-1806379,200.9,-18.110555555555557,43.0,3,L0,,,,,18.6,14.9,14.19,13.66,14.17,,,,,,,,,1999.0,,,200.89987360518,-18.11054198985,0.010028,0.0054844,108.14,3507934197073671424,200.8993693852,0.4286,-18.11075542381,0.3091,16.3932,0.4925,33.2851,118.039,-107.829,0.605,-48.022,0.37,349,1.6675,456.21,1.538,2.408,95,0.99,0.0957,17,1.063,false,207.439,0.826406,19.895142,31.6836,7.29428,21.586456,363.377,18.347002,1.904,3.239454,,,0,,,86262008995017520,,105615262,,0.005128,0.249977,0.025495,19.869551,0.005044,212.386,0.388,9.6813,6.0755,-0.3546,0.435228
SDSS J102600.05+395509.6,,J10260013+3955085,156.50041666666667,39.919444444444444,47.8,9.1,L0,,22.94,,20.37,,16.12,15.71,15.27,,,,,,,,,,2008.0,,,156.50047960502,39.91918430461,0.0313498,0.02351,139.08,756394219576639488,156.4995593668,1.0857,39.9198298249,1.5588,17.6111,1.7002,10.3582,215.203,-158.8,1.67,145.241,1.697,196,1.9011,281.39,4.098,3.761,95,1.2214,0.2657,13,1.097,false,87.9456,0.890336,20.826832,34.5464,5.67615,21.492537,152.851,19.287226,2.131,2.205311,,,0,,,155901564999174103,1237661384387265761,,,0.011332,0.178414,0.095775,20.814408,0.01121,88.9578,0.767,27.1525,28.2537,-0.2775,0.952489
SDSS J103225.19+330042.0,,J10322521+3300433,158.105,33.01166666666666,51.7,9.9,L0,,21.82,,19.35,,15.26,14.56,13.94,,,,,,,,,,2008.0,,,158.10501729362,33.01195708932,0.0100673,0.0069161,117.29,748553877036649216,158.10473905156,0.3659,33.01100590367,0.4051,20.4627,0.5439,37.6244,220.362,-52.497,0.583,-214.017,0.468,409,1.9428,539.06,1.556,2.88,95,0.9113,0.088,16,1.068,false,203.201,0.715503,19.917555,25.8804,3.89593,21.806116,363.226,18.347454,1.915,3.458662,,,0,,,147611581048944252,1237665129607922510,,,0.004712,0.163466,0.018358,19.891964,0.004641,208.047,0.367,9.4923,7.6863,-0.2989,1.046824
SDSS J103309.10+121625.9,,J10330903+1216265,158.28791666666666,12.273888888888889,66.6,12.7,L0,,21.63,,19.27,,15.07,14.44,13.95,,,,,,,,,,2008.0,,,158.28776026553,12.27401076395,0.009149,0.0072039,92.7,3883066123993750144,158.28883354345,0.4968,12.27347213271,0.3623,21.4168,0.4617,46.3829,265.27,235.968,0.565,-121.192,0.442,188,1.8544,234.16,1.361,1.704,95,1.2701,0.1198,13,1.097,false,212.606,1.02368,19.86843,45.1441,12.2242,21.20204,357.736,18.363989,1.895,2.838051,,,0,,,122721582884588888,1237661068178096322,,,0.005909,0.29401,0.033632,19.845188,0.005812,217.206,0.438,9.1452,7.2088,-0.0227,0.7037
SDSS J131839.06+213043.0,,,199.66291666666666,21.511944444444445,58.0,11.1,L0,,,,20.64,,16.44,15.5,15.04,,,,,,,,,,2010.0,,,199.66245250568,21.51178288729,0.0021157,0.0013432,93.23,3940616521097020800,199.66245250568,2.1137,21.51178288729,1.3464,,,,,,,,,141,5.3626,244.01,5.212,100.4,3,,,10,,false,78.113,1.54744,20.955559,56.4395,8.71306,20.959583,129.854,19.464254,2.385,1.495329,,,0,,,,,,,0.021684,0.167638,0.120946,20.955559,0.021684,78.113,1.115,2.1137,1.3464,-0.0529,1.659816
SDSS J103405.67+035016.3,,,158.52375,3.8377777777777777,39.0,?,L0,,,,20.04,,14.7,14.02,13.63,,,,,,,,,,2010.0,,,158.52351907366,3.83792581903,0.0073339,0.0060787,95.88,3856980966539068544,158.52502292317,0.3277,3.83694239645,0.2846,22.3718,0.3509,63.7502,403.657,337.607,0.455,-221.27,0.376,216,2.8867,356.0,1.636,4.504,95,0.9484,0.0875,15,1.142,false,341.579,1.33861,19.35364,29.8448,6.67311,21.65137,607.362,17.789276,1.865,3.862093,,,0,,,112601585247794981,1237654600493367547,,,0.005069,0.24278,0.024228,19.328049,0.004986,349.725,0.263,7.3218,6.0932,-0.0385,0.985929
SDSS J103428.24+414000.7,,J10342827+4140002,158.6175,41.66694444444444,56.9,10.9,L0,,23.39,,20.54,,16.49,15.95,15.22,,,,,,,,,,2008.0,,,158.61755845427,41.66714001951,0.0055911,0.0031592,75.84,780569521040899712,158.61755845427,5.4761,41.66714001951,3.3546,,,,,,,,,91,4.447,157.5,7.527,3.305,3,,,7,,false,74.1655,1.29924,21.011862,26.1086,11.5053,21.796585,122.069,19.531384,1.998,2.265202,,,0,,,,,,,0.019219,0.47846,0.082601,21.011862,0.019219,74.1655,0.626,5.4761,3.3546,0.2747,0.721406
2MASS J10231600-6238580,,J10231600-6238580,155.81666666666666,-62.64944444444444,41.07,15.29,L0,,,,,18.12,14.8,14.07,13.59,,,,,,,,,,2012.0,,,155.81671117492,-62.64943253944,0.0133379,0.0116091,81.58,5252276546675158144,155.81711883137,0.5794,-62.64975644538,0.5264,17.0115,0.6211,27.3877,84.185,42.14,0.83,-72.879,0.726,329,25.6833,1876.87,5.961,56.49,95,0.9059,0.1639,26,2.164,false,257.986,1.60014,19.658377,19.53,4.77875,22.111788,540.856,17.915192,2.172,4.196596,,,0,,,,,449070039,,0.007276,0.265682,0.017621,19.632786,0.007131,264.139,0.525,13.3032,11.6488,0.0403,0.085182
2MASS J10231600-6238580,,J10231600-6238580,155.81666666666666,-62.64944444444444,41.07,15.29,L0,,,,,18.12,14.8,14.07,13.59,,,,,,,,,,2012.0,,,155.81557287286,-62.6500395121,0.0044683,0.0038246,71.25,5252276546652949632,155.81552779993,0.1979,-62.6500278995,0.1744,0.1196,0.2052,0.5828,5.342,-4.659,0.273,2.613,0.242,346,-0.3981,344.72,0.0,0.0,31,,,27,0.984,false,365.187,0.916409,19.28108,122.459,6.20169,20.118568,297.612,18.563768,1.15,1.5548,,,0,,,,,,,0.003875,0.055056,0.038743,19.28108,0.003875,365.187,-0.127,4.4061,3.8961,0.0946,2.803918
SDSS J100844.63+470738.0,,J10084466+4707388,152.18583333333333,47.12722222222222,65.3,12.5,L0,,22.49,,20.01,,15.93,15.24,14.91,,,,,,,,,,2008.0,,,152.18602633084,47.12734523539,0.013163,0.0112711,107.74,822501084886320128,152.1853909721,0.7511,47.12664106864,0.6097,11.7342,0.9154,12.8187,185.91,-97.263,0.809,-158.438,0.7,289,2.9337,415.34,3.331,3.869,95,1.174,0.1784,19,1.125,false,109.307,0.727987,20.59075,29.3144,7.7107,21.67084,196.687,19.013456,2.068,2.657383,,,0,,,164551521854802834,1237657856064946798,,,0.007738,0.2856,0.042815,20.570405,0.007613,111.374,0.638,12.999,11.4599,-0.09,0.647746
SDSS J133312.79+150956.6,,,203.30333333333334,15.165833333333333,85.3,16.3,L0,,,,19.77,,15.84,15.28,15.09,,,,,,,,,,2010.0,,,203.30343432411,15.16579155871,0.0124051,0.0082933,124.67,3741883608307090560,203.30265742733,0.5213,15.16575443118,0.4437,11.6184,0.8206,14.1593,168.921,-168.714,0.703,-8.354,0.605,316,2.1877,415.32,2.301,2.905,95,1.0339,0.122,18,1.088,false,140.989,0.709987,20.314402,38.7596,7.56965,21.367596,244.666,18.77646,2.01,2.591135,,,0,,,126192033030159434,1237662531135210367,,,0.006123,0.21206,0.04291,20.295174,0.006037,143.508,0.59,11.2401,9.8146,-0.361,0.381773
