Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
2MASS J08112196-1201268,,J08112196-1201268,122.84166666666667,-12.024166666666668,77.52,16.23,M7.5,,,,,,15.45,14.7,14.06,,,,,,,,,,2012.0,UNCON,,122.84150833152,-12.02415846612,0.0130579,0.0088083,139.33,5727677886690835328,122.84080822142,0.5263,-12.02439128402,0.5263,22.0917,0.7747,28.5178,162.731,-154.069,0.667,-52.384,0.698,321,1.5982,401.33,1.519,1.738,95,1.1392,0.1358,16,1.063,false,138.84,0.665556,20.33108,37.6761,6.01797,21.398376,223.492,18.874739,1.881,2.523638,,,0,,,93571228409631160,,71614025,,0.005889,0.173446,0.042228,20.313014,0.005813,141.17,0.471,10.819,11.4474,-0.3709,0.558282
2MASS J14324269-5534247,,J14324269-5534247,218.17791666666668,-55.57361111111111,47.92,3.5,M7.5,,,,,18.24,14.33,13.69,13.12,,,,,,,,,,2012.0,UNCON,,218.17790121402,-55.57354998615,0.0044537,0.0032242,149.67,5892651394493735168,218.1769813945,0.1432,-55.57372005848,0.1739,16.9224,0.2409,70.2593,123.102,-117.004,0.224,-38.265,0.262,410,3.7443,630.59,1.186,6.798,95,1.1665,0.0398,19,1.134,false,559.234,1.08449,18.818384,20.3429,4.55716,22.067509,1014.33,17.232452,1.85,4.835056,,,0,,,,,326450727,,0.003468,0.243239,0.008686,18.792793,0.003438,572.572,0.113,3.5782,4.1746,-0.2755,0.222286
2MASS J08115730-4319238,,J08115730-4319238,122.98875,-43.32333333333334,52.07,10.55,M7.5,,,,,17.57,14.58,13.86,13.43,,,,,,,,,,2012.0,UNCON,,122.98874837873,-43.32332682833,0.0041777,0.0034451,176.57,5521194409069643136,122.98875175018,0.1607,-43.32347993448,0.2206,15.622,0.2223,70.2681,34.453,0.552,0.215,-34.449,0.26,382,3.7787,659.18,1.355,6.587,95,1.0557,0.0488,26,1.14,false,470.705,1.46546,19.005495,51.61,5.90319,21.056707,901.152,17.3609,2.024,3.695807,,,0,,,,,,,0.004361,0.124219,0.009488,18.979904,0.0043,481.931,0.444,3.448,4.1754,-0.0232,0.0238
Sp 46,,J03284407+3120528,52.18375,31.348055555555554,300.0,20,M7.5,,,,,,14.25,13.21,,12.63,,,,2940,,,,,2012.0,UNCON,,52.18366132316,31.3480068445,0.0067614,0.0047527,93.94,121405707412161536,52.18369911243,0.322,31.3479618872,0.2225,4.0933,0.3587,11.4103,12.452,7.261,0.424,-10.115,0.301,208,1.8698,343.67,1.171,3.137,95,0.9856,0.086,15,1.093,false,460.299,1.54453,19.029768,45.4811,5.98326,21.193966,813.04,17.472616,1.865,3.72135,,,0,,,145610521835708239,,,,0.004568,0.142861,0.01522,19.004177,0.0045,471.277,0.281,6.7533,4.7642,-0.0493,0.324162
2MASS J07595440-2117123,,J07595440-2117123,119.97666666666667,-21.28666666666667,43.75,9.06,M7.5,,,,,,14.21,13.54,13.03,,,,,,,,,,2012.0,UNCON,,119.9766736775,-21.28678678864,0.0201384,0.0177357,45.23,5711613300263054464,119.9764925914,0.8101,-21.28669392493,0.8319,8.259,1.2435,6.6415,43.335,-37.965,1.19,20.894,1.192,396,89.4244,13289.48,10.986,396.5,95,1.2577,0.2202,20,5.548,false,463.29,5.72142,19.022736,37.4926,5.28451,21.403677,1061.75,17.182837,2.373,4.220841,,,0,,,82451199765616254,,68585560,,0.013689,0.153058,0.007814,18.997145,0.013383,474.339,0.722,18.9848,18.9655,0.1264,0.433078
2MASS J19265883-0844206,,J19265883-0844206,291.745,-8.739166666666666,71.76,12.94,M7.5,,,20.27,,18.14,15.2,14.35,13.94,,,,,,,,,,2012.0,UNCON,,291.74517635964,-8.73904670077,0.0060566,0.0045381,69.65,4206651704564200320,291.74527629369,0.2943,-8.73903036922,0.2461,13.0626,0.3365,38.8214,22.526,22.224,0.367,3.675,0.298,201,2.2831,277.24,1.059,2.203,95,1.2017,0.0648,15,1.116,false,387.732,1.31061,19.216038,22.8726,4.04912,21.940252,649.327,17.716738,1.734,4.223515,,,0,,,97512917452653543,,286267460,,0.004589,0.192227,0.013123,19.190447,0.004521,396.98,0.083,5.8938,4.7476,0.1875,0.761777
2MASS J18462994-1143368,,J18462994-1143368,281.6245833333333,-11.726944444444445,80.95,15.91,M7.5,,,,,18.47,15.51,14.84,14.41,,,,,,,,,,2012.0,UNCON,,281.62437543182,-11.72692354721,0.0115031,0.0056581,47.59,4106004407358230400,281.62436173695,0.4832,-11.72695606433,0.5228,-0.1827,0.517,-0.3534,7.914,-3.017,0.585,-7.316,0.553,146,-1.2968,126.51,0.0,0.0,95,1.291,0.1214,12,0.921,false,226.638,1.17454,19.799032,22.1285,0.828433,21.976164,220.334,18.890192,1.07,3.085972,,,0,,,93922816243658027,,,,0.006265,0.040743,0.010432,19.773441,0.006148,232.044,-0.424,9.3106,8.8118,0.6088,0.736675
2MASS J18462994-1143368,,J18462994-1143368,281.6245833333333,-11.726944444444445,80.95,15.91,M7.5,,,,,18.47,15.51,14.84,14.41,,,,,,,,,,2012.0,UNCON,,281.62481814349,-11.72687507192,0.0072889,0.0056549,55.55,4106004403025755776,281.62486670249,0.3547,-11.72723126753,0.4019,8.1553,0.4626,17.6286,80.855,10.698,0.422,-80.144,0.382,163,1.0134,199.23,0.956,1.446,95,1.1766,0.1033,13,1.056,false,282.688,2.90565,19.559097,62.2741,7.87015,20.852774,520.291,17.957281,2.061,2.895493,,,0,,,93922816248477829,,,,0.011495,0.137243,0.02498,19.534992,0.011257,289.035,0.595,6.8088,6.2247,0.2328,0.86453
2MASS J18462994-1143368,,J18462994-1143368,281.6245833333333,-11.726944444444445,80.95,15.91,M7.5,,,,,18.47,15.51,14.84,14.41,,,,,,,,,,2012.0,UNCON,,281.62425652294,-11.72764013696,0.0097932,0.0067764,51.72,4106004407358218880,281.62425520283,0.4789,-11.72763824825,0.5252,-0.0335,0.5755,-0.0583,0.515,-0.291,0.542,0.425,0.496,164,1.0562,186.97,1.297,1.638,95,1.3162,0.1315,13,1.058,false,207.281,1.84811,19.895966,83.3942,9.88918,20.535704,178.353,19.119692,1.263,1.416012,,,0,,,93922816242597235,,,,0.010065,0.128781,0.066983,19.895899,0.010064,207.294,0.002,8.759,8.0689,0.344,2.756718
MBO 94,,J03291018+3127159,52.2925,31.454444444444444,300.0,20,M7.5,,,,18.99,,15.55,14.69,,14.13,,,,3050,,,,,2012.0,UNCON,,52.29241507132,31.4544163386,0.01466,0.0085735,96.6,121408009514608000,52.2924504346,0.67,31.45437538305,0.4151,4.0706,0.7381,5.5149,11.445,6.788,0.92,-9.215,0.554,205,1.7304,276.61,2.099,3.057,95,1.0184,0.1423,14,1.086,false,212.939,1.02516,19.86673,46.1783,9.87328,21.177448,349.946,18.387894,1.86,2.789555,,,0,,,145740522924075900,,,,0.005909,0.232156,0.045052,19.844241,0.005814,217.396,0.411,14.5962,8.6817,-0.1274,0.279754
2MASS J19130363-1307559,,J19130363-1307559,288.265,-13.132222222222223,76.12,12.6,M7.5,,,,,18.21,15.29,14.49,13.89,,,,,,,,,,2012.0,UNCON,,288.26516886294,-13.13224304567,0.0081555,0.0052206,51.21,4197919765463518976,288.265497426,0.3614,-13.13245445812,0.3473,15.2708,0.4074,37.487,86.289,71.993,0.44,-47.568,0.401,242,1.5648,305.12,1.49,2.716,95,1.1895,0.098,17,1.071,false,253.397,1.07735,19.677864,25.5078,5.35561,21.82186,440.093,18.139036,1.837,3.682823,,,0,,,92242882653291490,,281920766,,0.005376,0.227978,0.013789,19.652273,0.005284,259.44,0.259,7.1486,6.5318,0.4106,0.596736
2MASS J17315078-1306332,,J17315078-1306332,262.96166666666664,-13.109166666666667,84.29,18.13,M7.5,,,20.66,,18.66,15.65,14.92,14.48,,,,,,,,,,2012.0,UNCON,,262.96164042014,-13.10920369479,0.0057546,0.0031256,66.67,4162454085903833216,262.96167523765,0.2585,-13.10918149694,0.1986,2.7871,0.2993,9.3114,9.119,7.63,0.336,4.995,0.22,411,0.3931,485.39,0.681,1.274,95,1.1592,0.053,19,1.013,false,374.854,0.871887,19.252712,50.8469,4.49103,21.07288,564.741,17.868273,1.642,3.204607,,,0,,,92262629616429355,,196874412,,0.003738,0.095938,0.011102,19.227121,0.003698,383.794,0.131,5.4271,3.6648,0.4269,0.161981
2MASS J07313276-2841575,,J07313276-2841575,112.88666666666667,-28.699444444444445,74.55,12.3,M7.5,,,,,18.12,15.25,14.59,14.09,,,,,,,,,,2012.0,UNCON,,112.88651336371,-28.69930629792,0.0059648,0.0050987,177.33,5611703874100580608,112.88624984553,0.2346,-28.69926140795,0.2821,12.7026,0.366,34.7065,52.979,-52.008,0.317,10.1,0.371,421,5.115,684.95,1.905,6.11,95,1.0675,0.0769,27,1.182,false,250.236,0.970289,19.691494,37.0328,3.74667,21.417074,470.836,18.065723,2.03,3.351351,,,0,,,73561128864051154,,36433893,,0.005031,0.109881,0.011361,19.665903,0.00495,256.204,0.497,5.1007,5.9631,-0.0147,0.694031
2MASS J17140018-4844178,,J17140018-4844178,258.50083333333333,-48.73833333333334,61.24,4.93,M7.5,,,,,,14.8,14.12,13.59,,,,,,,,,,2012.0,UNCON,,258.50075370136,-48.73831320483,0.0129224,0.0093434,116.79,5950665201414968320,258.50020229799,0.5313,-48.73881591287,0.3599,15.6657,0.6307,24.8372,139.601,-81.821,0.761,-113.109,0.619,528,29.1404,2456.24,4.139,51.53,95,1.1701,0.0998,17,2.025,false,349.302,1.18746,19.329363,37.9532,3.8987,21.39042,663.241,17.693716,2.007,3.696705,,,0,,,,,359865151,,0.004606,0.111566,0.011659,19.303772,0.004537,357.633,0.427,12.2801,10.1729,-0.2566,0.202473
2MASS J17140018-4844178,,J17140018-4844178,258.50083333333333,-48.73833333333334,61.24,4.93,M7.5,,,,,,14.8,14.12,13.59,,,,,,,,,,2012.0,UNCON,,258.50075911274,-48.73802260555,0.0033444,0.0020613,24.61,5950665201398503296,258.50075911274,2.3349,-48.73802260555,3.1595,,,,,,,,,104,0.8151,110.2,0.0,0.0,3,,,4,,false,92.1217,1.22239,20.77646,50.7957,20.3872,21.073975,95.9392,19.792906,1.593,1.281069,,,0,,,,,,,0.014668,0.435776,0.143416,20.77646,0.014668,92.1217,0.348,2.3349,3.1595,0.356,1.132414
LSPM 1735+2634 A,x,J17351296+2634475,263.8041666666667,26.58,14.99,0.31,M7.5,,,18.1,,14.2,11.76,11.1,10.16,10.69,,,,,,86.0,,,2009.0,UNCON,,263.80404039908,26.57973755673,0.0136498,0.009868,12.68,4594186745414679680,263.80474400128,0.4838,26.57845253457,0.6639,64.3292,0.7493,85.8558,321.933,141.579,0.629,-289.13,0.832,440,143.2617,332327.22,7.895,9162.0,95,0.9382,0.165,29,8.735,false,8454.06,55.2849,15.869704,317.573,9.42196,19.083935,18756.8,14.064997,2.256,5.018938,,,0,,,139892638045175314,1237665569841545534,,583217474,0.007616,0.032333,0.004098,15.853539,0.007518,8580.87,0.493,10.0827,13.492,0.14,1.028542
SONYC-Lup3-29,,,242.50541666666666,-39.112500000000004,200.0,,M7.5,,,,,15.38,12.32,,,10.52,,,,2800,,58.0,,,2015.0,,,242.50555265772,-39.11244888536,0.0026319,0.0016353,82.39,5997407330454214016,242.50549201352,0.1355,-39.11255546956,0.0697,5.4313,0.1656,32.8015,26.214,-10.587,0.164,-23.981,0.106,518,7.949,2207.3,0.958,47.9,95,1.0998,0.0218,17,1.258,false,3338.66,6.11595,16.878435,136.895,5.82218,19.997576,5942.1,15.313046,1.821,4.684529,,,0,,,,,115714678,,0.003398,0.046261,0.004808,16.852844,0.003371,3418.29,0.105,2.6177,1.6579,0.1287,0.422083
2MASS J07390794-4926533,,J07390794-4926533,114.78291666666667,-49.448055555555555,54.55,5.04,M7.5,,,20.15,,18.06,14.69,14.03,13.61,,,,,,,,,,2012.0,UNCON,,114.7831138617,-49.44813586542,0.0074948,0.0072274,105.04,5494175873610005376,114.784812314,0.3699,-49.44835960163,0.3976,28.7912,0.419,68.708,253.499,248.451,0.466,-50.338,0.446,309,17.5903,1258.32,3.481,25.65,95,0.8446,0.1086,25,1.793,false,322.395,1.72929,19.416395,56.5151,10.6741,20.958132,691.966,17.647684,2.322,3.310448,,,0,,,,,470080720,,0.006443,0.205084,0.014527,19.390804,0.00632,330.085,0.795,7.4771,7.2457,-0.0182,0.544611
MBO 65,,J03293773+3122024,52.40708333333333,31.36722222222222,300.0,20,M7.5,,,,,,13.99,13.37,,12.96,,,,2870,,,,,2012.0,UNCON,,52.40716939517,31.3673806179,0.0040016,0.0025842,99.29,121400450373111040,52.40720847549,0.1706,31.36733521743,0.1186,3.5576,0.18,19.7638,12.677,7.508,0.249,-10.215,0.167,199,1.0398,275.38,0.669,3.592,31,,,13,1.051,false,1255.95,2.33333,17.939936,85.7778,5.90821,20.505106,2051.56,16.467684,1.702,4.037422,,,0,,,145640524071781422,,,607033795,0.003415,0.074835,0.007604,17.939936,0.003415,1255.95,0.077,3.9711,2.6308,-0.1423,0.6286
2MASS J16445388-4021050,,J16445388-4021050,251.22458333333333,-40.35138888888889,67.8,13.51,M7.5,,,,,,15.13,14.16,13.71,,,,,,,,,,2012.0,UNCON,,251.22447644481,-40.35137815648,0.0089205,0.0055301,108.41,5969152488658235008,251.22446481626,0.3057,-40.35138516884,0.193,0.1062,0.3682,0.2885,2.543,-1.994,0.537,-1.578,0.367,292,0.5819,359.63,1.035,2.466,95,1.1148,0.0664,18,1.023,false,396.974,1.23866,19.19046,75.8821,8.35863,20.638193,562.6,17.872396,1.608,2.765797,,,0,,,,,124465120,,0.004367,0.119629,0.014756,19.168347,0.004314,405.142,0.162,8.6424,5.9554,-0.2852,0.295785
2MASS J16445388-4021050,,J16445388-4021050,251.22458333333333,-40.35138888888889,67.8,13.51,M7.5,,,,,,15.13,14.16,13.71,,,,,,,,,,2012.0,UNCON,,251.2252833698,-40.35118296945,0.0410067,0.0235116,84.12,5969152492964046720,251.22527001351,1.2518,-40.35120588138,0.8386,1.2551,1.5363,0.817,5.641,-2.29,2.537,-5.155,1.455,158,1.2519,180.46,1.371,0.4157,95,1.3098,0.2714,12,1.07,false,106.257,1.0292,20.621468,37.0811,6.01727,21.41566,102.642,19.719578,1.315,1.696083,,,0,,,,,,,0.010871,0.176208,0.104514,20.617609,0.010835,106.636,0.02,40.8617,23.7625,0.1185,2.058667
2MASS J16233986-2822415,,J16233986-2822415,245.91625,-28.378333333333334,88.56,17.29,M7.5,,,20.73,,18.67,15.7,14.94,14.49,,,,,,,,,,2012.0,UNCON,,245.91608170518,-28.37827193388,0.0090028,0.0065345,116.96,6044974711715411072,245.91578665129,0.4442,-28.37858601321,0.2971,4.3525,0.4614,9.4333,91.682,-58.409,0.539,-70.668,0.451,278,-0.5183,307.0,1.058,1.189,95,1.0454,0.0895,15,0.977,false,232.081,1.05321,19.773268,42.8906,6.02444,21.257637,358.082,18.362938,1.728,2.894699,,,0,,,73942459159216131,,146084240,,0.005645,0.152529,0.019156,19.749174,0.005551,237.289,0.262,8.5539,7.112,-0.2547,0.577065
2MASS J16233986-2822415,,J16233986-2822415,245.91625,-28.378333333333334,88.56,17.29,M7.5,,,20.73,,18.67,15.7,14.94,14.49,,,,,,,,,,2012.0,UNCON,,245.916005079,-28.37765523836,0.0045739,0.0018592,87.5,6044975467634854144,245.916005079,4.5702,-28.37765523836,1.8681,,,,,,,,,65,2.5687,91.88,6.573,25.26,3,,,6,,false,76.1074,1.56474,20.983799,77.6437,33.271,20.613277,47.4414,20.5575,1.644,0.055777,,,0,,,73942459160127129,,,,0.022492,0.465256,0.33549,20.983799,0.022492,76.1074,0.487,4.5702,1.8681,0.0893,2.561441
2MASS J18300760-1842361,,J18300760-1842361,277.5316666666667,-18.71,,,M7.5,,,,,,10.43,9.38,,8.82,,,,,,,,,,,,277.53169455621,-18.71003978836,0.0024127,0.0017909,64.99,4093120983006380672,277.53168231553,0.1233,-18.71006604455,0.1131,-0.098,0.1232,-0.7953,6.458,-2.609,0.143,-5.908,0.117,196,1.4237,2852.63,0.948,113.2,95,1.1134,0.0336,15,1.072,false,14071.0,440.156,15.316555,1521.18,111.536,17.383087,30316.8,13.543688,2.263,3.839399,,,0,,,85542775317588136,,,357000189,0.034075,0.079657,0.07773,15.30039,0.033574,14282.1,0.663,2.3139,1.917,0.2258,0.171932
2MASS J18300760-1842361,,J18300760-1842361,277.5316666666667,-18.71,,,M7.5,,,,,,10.43,9.38,,8.82,,,,,,,,,,,,277.53179600305,-18.7102717283,0.0022146,6.63E-5,44.65,4093120982929467904,277.53179600305,1.5572,-18.7102717283,1.5761,,,,,,,,,99,2.4625,131.13,0.331,2.705,3,,,7,,false,4310.58,8.88607,16.601027,,,,,,,,,,0,,,,,,,0.00355,,,16.601027,0.00355,4310.58,,1.5572,1.5761,0.9982,1.073035
2MASS J18403930-1459233,,J18403930-1459233,280.16375,-14.989722222222222,76.29,13.79,M7.5,,,,,18.27,15.34,14.65,14.12,,,,,,,,,,2012.0,UNCON,,280.16375530443,-14.98983652864,0.0054142,0.0038698,75.6,4103405329339206912,280.16379333761,0.2345,-14.98988411366,0.2182,5.263,0.2342,22.4693,13.526,8.266,0.33,-10.707,0.244,161,-2.6312,147.72,0.0,0.0,95,1.1172,0.0625,12,0.852,false,622.555,2.07369,18.701921,94.8676,12.204,20.395746,951.788,17.301544,1.681,3.094202,,,0,,,90012801637492508,,254939076,,0.004547,0.139699,0.014515,18.67633,0.00448,637.403,0.186,5.3317,3.9827,0.1626,0.411916
2MASS J18403930-1459233,,J18403930-1459233,280.16375,-14.989722222222222,76.29,13.79,M7.5,,,,,18.27,15.34,14.65,14.12,,,,,,,,,,2012.0,UNCON,,280.16435692641,-14.98940175395,0.0228516,0.002426,45.5,4103405711613803008,280.16435692641,16.387,-14.98940175395,16.1105,,,,,,,,,44,-0.0935,37.53,0.0,0.0,3,,,4,,false,88.3921,1.91216,20.821333,,,,74.9099,20.061546,,,,,0,,,90012801643893234,,,,0.023648,,0.271215,20.821333,0.023648,88.3921,,16.387,16.1105,0.9777,2.405322
ASR 80,,J03291776+3119481,52.32416666666666,31.33,300.0,20,M7.5,,,,19.09,,14.8,13.65,,12.99,,,,3000,,,,,2012.0,UNCON,,52.32401300802,31.33003828907,0.0167555,0.0100888,96.35,121406016649802752,52.32404596785,0.8881,31.32998825331,0.5899,4.0103,1.0159,3.9476,12.918,6.335,1.056,-11.258,0.651,186,3.3449,291.43,3.143,4.516,95,0.7179,0.1826,13,1.179,false,187.895,1.10227,20.002579,56.2586,17.3771,20.96307,371.554,18.32284,2.277,2.64023,,,0,,,145590523239946631,,,,0.00694,0.335373,0.030869,19.982521,0.006833,191.398,0.849,16.6901,10.1967,-0.1156,0.492206
ASR 83,,J03291279+3120077,52.303333333333335,31.335555555555555,300.0,20,M7.5,,,,,,14.68,13.78,,13.29,,,,2880,,,,,2012.0,UNCON,,52.30330395163,31.33544597241,0.0056195,0.0037376,86.69,121405977995538816,52.3033359793,0.2739,31.33540367052,0.1841,3.3163,0.3059,10.8418,11.335,6.155,0.353,-9.518,0.238,240,-0.636,297.13,0.739,1.48,95,1.0633,0.0685,15,0.969,false,511.37,1.49627,18.915527,48.268,7.6202,21.129393,911.469,17.348541,1.877,3.780851,,,0,,,145600523032843129,,,607033764,0.004205,0.171431,0.022612,18.889936,0.00415,523.567,0.285,5.6143,3.7454,0.0482,0.404712
2MASS J16481339-3039086,,J16481339-3039086,252.05583333333334,-30.6525,43.49,8.98,M7.5,,,,,17.2,14.2,13.49,13.07,,,,,,,,,,2012.0,UNCON,,252.05583521357,-30.65237602913,0.0040656,0.0029596,97.45,6030944737198180480,252.05611397242,0.1816,-30.65236983872,0.0934,21.284,0.2246,94.7607,53.975,53.957,0.254,1.393,0.185,421,1.3252,646.98,0.847,5.814,95,1.087,0.0355,17,1.046,false,769.352,1.24775,18.472054,26.4436,3.38331,21.782743,1364.35,16.91058,1.808,4.872164,,,0,,,71212520561417474,,147263486,,0.00327,0.138942,0.005702,18.446463,0.003248,787.702,0.065,4.0495,2.9816,-0.0827,0.446333
2MASS J07102532-0633215,,J07102532-0633215,107.60541666666667,-6.556111111111111,53.68,10.6,M7.5,,,20.07,,17.61,14.63,13.9,13.45,,,,,,,,,,2012.0,UNCON,,107.60549583958,-6.55600399523,0.0045399,0.0037666,139.46,3052267849487006464,107.60527087263,0.1975,-6.55599567922,0.1968,11.8566,0.2382,49.7689,50.321,-50.287,0.259,1.871,0.266,240,1.7288,336.05,1.013,3.787,95,1.1464,0.0474,17,1.08,false,527.789,1.5414,18.881216,76.9958,16.7293,20.622374,908.618,17.351942,1.867,3.270432,,,0,,,100131076053633183,,65431226,,0.004201,0.23592,0.012627,18.855625,0.004145,540.377,0.347,4.1111,4.2305,-0.1824,0.478413
2MASS J11530648-7454349,,J11530648-7454349,178.27708333333334,-74.90972222222223,73.63,13.62,M7.5,,,20.35,,18.23,15.27,14.63,14.04,,,,,,,,,,2012.0,UNCON,,178.27701234381,-74.90968442369,0.0073628,0.0061032,75.15,5226452175298899712,178.27641431916,0.3498,-74.90982073485,0.2777,12.6951,0.3517,36.0946,46.559,-35.03,0.463,-30.67,0.39,300,2.1253,402.75,1.59,3.125,95,1.1404,0.0849,21,1.088,false,268.335,1.04704,19.615673,30.1663,3.3088,21.639738,516.012,17.966248,2.035,3.673491,,,0,,,,,451832497,,0.005054,0.119122,0.013059,19.590082,0.004971,274.735,0.458,7.2867,6.1939,0.0931,0.15147
2MASS J15594729+4403595 B,x,J15594729+4403595 B,239.94708333333332,44.06666666666666,27.0,2,M7.5,,,,16.8,,,,,,,,,,,43.0,150.0,,,,,239.94711082479,44.06658607528,0.0034961,0.002829,31.65,1384769474242031616,239.94668163441,0.157,44.06654656224,0.1538,23.7625,0.1775,133.8892,69.954,-69.387,0.19,-8.891,0.206,417,206.1105,222169.56,2.191,7543.0,31,,,27,13.919,false,780364.0,653.886,10.956624,206563.0,670.813,12.050909,859255.0,9.912591,1.366,2.138318,,,0,,,160882399470960127,1237659324952543289,,671237796,0.002902,0.004496,0.004274,10.956624,0.002902,780364.0,0.012,3.0275,3.3258,0.1872,0.298717
2MASS J11301046-5759419,,J11301046-5759419,172.54375,-57.995,41.91,2.29,M7.5,,,,,,14.03,13.36,12.83,,,,,,,,,,2012.0,UNCON,,172.54362222332,-57.99498290983,0.0028925,0.0023165,59.5,5336733745639778944,172.54041760076,0.1223,-57.99418911329,0.1202,27.2417,0.1585,171.8849,421.828,-382.147,0.172,178.613,0.155,374,0.2195,493.69,0.579,2.119,31,,,26,1.007,false,759.631,3.08288,18.485859,48.2125,5.68357,21.130644,1326.91,16.940788,1.81,4.189856,,,0,,,,,420972156,,0.005197,0.128023,0.006173,18.485859,0.005197,759.631,0.164,2.7557,2.4778,0.1922,0.251438
2MASS J08361270-2648443,,J08361270-2648443,129.05291666666668,-26.81222222222222,57.5,8.94,M7.5,,,20.06,,17.55,14.66,13.96,13.52,,,,,,,,,,2012.0,UNCON,,129.05293709768,-26.81231709201,0.0031155,0.00203,47.83,5647023176880138624,129.05311952415,0.1145,-26.81274230846,0.131,15.6493,0.2121,73.7702,102.447,36.633,0.169,-95.674,0.161,828,4.3582,1227.11,1.09,7.8,95,1.1583,0.0312,23,1.109,false,520.645,0.740856,18.896011,45.4398,3.708,21.19495,901.635,17.360317,1.819,3.834633,,,0,,,75821290531145166,,46788277,,0.003159,0.088643,0.008189,18.87042,0.003141,533.063,0.22,2.6813,2.5764,0.4023,0.347783
2MASS J06400355-1449104,,J06400355-1449104,100.015,-14.819444444444445,45.14,2.23,M7.5,,,19.51,,17.24,14.14,13.48,13.05,,,,,,,,,,2012.0,UNCON,,100.01480770261,-14.81956512771,0.0083051,0.0063214,151.75,2950537120969927552,100.0145853679,0.3472,-14.81937860501,0.3774,16.4728,0.4251,38.7467,64.032,-48.361,0.421,41.968,0.488,241,14.017,1162.19,3.136,38.15,95,0.9397,0.0923,18,1.71,false,653.237,5.16665,18.649689,47.6121,8.09857,21.144247,1313.23,16.952047,2.083,4.1922,,,0,,,90211000146457060,,50759729,,0.009019,0.184699,0.009551,18.624098,0.008828,668.817,0.436,6.8163,7.904,-0.2246,0.797898
S Ori 42,,J05392341-0240575,84.8475,-2.6827777777777775,360.0,65,M7.5,,,,20.03,19.05,16.73,15.92,15.55,,15.19,14.53,,,,26.0,,,,,,84.84763447017,-2.68266085063,0.0041854,0.0021883,1.72,3216437412395710848,84.84763447017,2.1909,-2.68266085063,4.1841,,,,,,,,,76,3.0951,113.72,6.541,4.07,3,,,6,,false,82.531,1.41981,20.895824,25.8085,0.9678,21.809134,144.946,19.344881,2.069,2.464253,,,0,,,104780848475931259,,27674625,,0.01888,0.04081,0.097351,20.895824,0.01888,82.531,0.668,2.1909,4.1841,0.0416,0.641109
2MASS J10293728-4031259,,J10293728-4031259,157.40541666666667,-40.52388888888889,77.57,12.13,M7.5,,,,,18.29,15.31,14.53,14.06,,,,,,,,,,2012.0,UNCON,,157.40532453172,-40.52388906935,0.0088304,0.0048914,31.79,5440478818085409920,157.4047091197,0.3067,-40.52377747929,0.3912,11.0869,0.5697,19.4612,108.207,-105.254,0.382,25.108,0.494,698,10.4232,1340.8,3.241,16.01,95,1.0601,0.086,24,1.292,false,202.868,0.754028,19.919334,32.4301,4.99979,21.561172,386.803,18.279171,2.067,3.282002,,,0,,,,,82556014,,0.004886,0.167413,0.016008,19.893743,0.004809,207.706,0.544,6.239,7.9358,0.4888,0.252127
CFHT-Tau 2,,J04361038+2259560,69.04333333333334,22.99888888888889,130.0,9,M7.5,22.52,,20.21,,16.81,13.75,12.76,12.17,,,,,2790,,42.0,,,,,,69.04326796331,22.99888853538,0.0070735,0.0045787,89.6,145220064117853696,69.04331806803,0.3083,22.99881879928,0.1717,6.1038,0.3438,17.7565,18.812,10.377,0.436,-15.691,0.286,238,5.049,395.92,1.255,5.136,95,1.2675,0.0599,13,1.242,false,586.759,2.17209,18.766218,44.7189,8.25434,21.212313,1114.22,17.130472,1.975,4.081841,,,0,,,135590690432989132,,,565038326,0.004873,0.200427,0.014651,18.740627,0.004796,600.753,0.344,7.0734,4.5788,0.0062,0.21663
