Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
PPl 15 A,x,,57.01958333333334,23.65833333333333,136.2,1.2,M7,22.46,,,,17.91,15.28,14.7,14.26,,,,,,,73.0,,,,,,57.01941055326,23.6584217121,0.0084199,0.0052845,71.61,65000073712701056,57.01950344317,0.3889,23.65822198457,0.2927,7.0616,0.4697,15.0358,48.846,19.144,0.513,-44.939,0.364,216,-0.9683,237.38,0.682,0.658,95,0.9477,0.0989,14,0.952,false,290.345,1.11519,19.53008,37.0336,7.34459,21.417053,507.424,17.984467,1.875,3.432587,,,0,,,136390570194940443,,,,0.004998,0.215344,0.016635,19.504489,0.004917,297.27,0.331,8.1621,5.6746,0.2777,0.65255
2MASS J04152409+2910434,,J04152409+2910434,63.85041666666667,29.178611111111113,140.0,,M7,,,,,,13.68,12.88,12.36,,,,,,,,,,,,,63.85041757819,29.17874967939,0.0045714,0.0029553,82.7,164800820022316800,63.85047896574,0.2016,29.17866787832,0.1184,6.2298,0.2221,28.0501,22.004,12.059,0.283,-18.405,0.188,341,4.2095,584.96,1.016,7.179,95,1.1468,0.0424,18,1.166,false,797.27,1.84898,18.433353,51.2259,9.98539,21.06482,1518.11,16.794634,1.968,4.270186,,,0,,,143010638503654961,,,596042582,0.003733,0.211659,0.008305,18.407762,0.003693,816.285,0.311,4.5499,2.9884,0.1128,0.498854
2MASS J17051832-4909412,,J17051832-4909412,256.32625,-49.16138888888889,,,M7,,,,,,15.05,14.36,13.92,,,,,,,,,,2012.0,UNCON,,256.32638712628,-49.16147264832,0.0039405,0.0033141,69.29,5938587989550685696,256.32629915239,0.1805,-49.16147761629,0.1286,3.6472,0.2103,17.3412,12.992,-12.944,0.238,-1.118,0.208,391,-0.213,540.31,0.741,3.297,95,1.0678,0.0407,19,0.991,false,661.792,1.3198,18.635563,53.857,4.16219,21.010437,992.726,17.255821,1.581,3.754616,,,0,,,,,359102793,,0.003504,0.083954,0.007462,18.609972,0.003473,677.576,-0.007,3.8677,3.3988,0.1144,0.441738
CFHTWIR-Oph 57,,,246.76666666666668,-24.04638888888889,125.0,?,M7,,,,,,15.06,13.92,13.18,,,,,,,,,,2012.0,,,246.76675206949,-24.04642436875,0.0493737,0.0040142,112.12,6049177831136909952,246.76675206949,45.7653,-24.04642436875,18.9582,,,,,,,,,50,2.4104,71.05,10.013,4.296,3,,,2,,false,57.2982,2.73086,21.292015,50.3536,2.72376,21.083467,107.666,19.667696,2.758,1.415772,,,0,,,,,,,0.05182,0.058797,0.195019,21.292015,0.05182,57.2982,1.498,45.7653,18.9582,-0.9736,0.308456
G 160-54 C,x,J04134585-0509049 C,63.44125,-5.1513888888888895,21.0,9,M7,,,,,,,,,,,,,,,85.0,70.0,,,UNCON,,63.44116928652,-5.15140896892,0.0032463,0.0011747,112.48,3203300859784180096,63.44196025698,0.161,-5.15189801562,0.0837,33.7952,0.114,296.4113,208.627,177.25,0.197,-110.035,0.107,452,84.5286,33056.72,0.826,875.2,31,,,15,4.898,false,151560.0,93.9886,12.735903,23101.9,31.6596,14.429423,205274.0,11.467063,1.507,2.96236,,,0,,,101810634416718283,1237652900775657593,24792024,425008538,0.002836,0.003162,0.003871,12.735903,0.002836,151560.0,0.031,3.0331,1.6488,-0.647,0.298287
HD 23514 B,x,J03463839+2255112,56.66,22.919722222222223,136.2,1.2,M7,,,,,,,,14.92,,,,,2600,,63.0,360.0,,2012.0,,,56.65996751096,22.91977775967,3.739E-4,2.644E-4,74.33,64808204638390912,56.66006365314,0.0178,22.91958420692,0.0142,7.1526,0.0204,351.2324,47.891,19.924,0.023,-43.549,0.017,187,0.7429,416.21,0.093,8.943,31,,,15,1.037,false,3568090.0,897.129,9.306278,2058390.0,1052.38,9.554723,2188890.0,8.897336,1.19,0.657387,5.59,0.45,4,6500.0,4.5,,,,565026633,0.002769,0.002845,0.003828,9.306278,0.002769,3568090.0,0.001,0.3671,0.2739,0.1808,0.22711
2MASS J07284123-0427191,,J07284123-0427191,112.17166666666667,-4.455277777777778,,,M7,,,,,,15.56,14.85,14.33,,,,,,,,,,2012.0,UNCON,,112.17186967619,-4.45538698812,0.0084893,0.0073919,104.49,3060266457282982400,112.17210996705,0.4116,-4.45659425985,0.3743,14.8758,0.5688,26.1517,276.933,53.902,0.52,-271.636,0.464,218,0.934,254.24,0.74,0.3888,95,1.2093,0.1158,16,1.044,false,176.176,0.857376,20.072502,83.1526,34.3486,20.538853,318.109,18.491455,2.278,2.047398,,,0,,,102651121719833009,,67161842,,0.005959,0.448503,0.038647,20.062867,0.005918,177.746,0.936,8.4248,7.4653,-0.0671,0.82793
CFHT-Tau 11,,J04350850+2311398,68.78541666666666,23.194444444444446,130.0,12,M7,18.4,,17.5,,14.88,12.53,11.94,11.59,,,,,3020,,71.0,,,,,,68.78547451136,23.19441404382,0.001518,0.0010189,91.68,145238687096970496,68.78551260561,0.0722,23.19432123402,0.0382,7.7681,0.0773,100.4297,22.319,7.878,0.093,-20.882,0.064,282,-0.4188,454.62,0.308,5.69,31,,,15,0.981,false,5453.84,6.72362,16.345612,381.03,14.5649,18.886145,8678.88,14.901736,1.661,3.984408,,,0,,,135830687855113783,1237664089144361264,,566038655,0.003063,0.041596,0.005672,16.345612,0.003063,5453.84,0.043,1.5176,1.0194,-0.0239,0.220489
USD161005,,,242.5225,-19.326666666666668,145.0,,M7,,,,,,,,,,,,,2600,,,,,,,,242.52255475587,-19.32668603944,0.0043437,0.0028922,90.26,6245758827871591680,242.5225172719,0.2032,-19.32679491991,0.1212,7.0494,0.205,34.3826,25.758,-7.959,0.267,-24.498,0.181,280,3.9,494.46,1.02,6.535,95,1.1286,0.0406,16,1.17,false,773.229,5.52594,18.466597,43.0722,4.75849,21.25305,1354.6,16.918365,1.808,4.334684,,,0,,,84802425226388108,1237674654766532184,167917848,,0.008234,0.119981,0.020654,18.441006,0.008064,791.671,0.141,4.3437,2.8922,-0.0037,0.198657
CFHT-Pl-15,,J03551257+2317378,58.8025,23.29388888888889,136.2,1.2,M7,,,21.09,,18.62,16.01,15.19,,14.77,,,,,,54.0,,,,UNCON,,58.80244317436,23.29378907806,0.0140656,0.0080857,84.27,65632460403172224,58.80273988767,0.6327,23.29353640459,0.3963,8.8104,0.6751,13.0504,83.619,61.319,0.867,-56.852,0.521,287,0.8281,333.67,1.531,1.145,95,1.0038,0.1283,16,1.034,false,139.595,0.723196,20.325193,44.0871,8.30126,21.227764,231.031,18.838722,1.971,2.389042,,,0,,,135950588026342852,,,,0.006263,0.204455,0.043551,20.309493,0.006191,141.628,0.58,14.0186,8.1669,0.1149,0.405482
