Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?
DENIS-P J0147327?495448 B,x,J01473282-4954478,26.886666666666667,-49.913333333333334,37.59,4.38,L2,,,,,16.05,14.7,14,,13.6,11.7,11.49,11.22,2350,1.0,84.0,6.3,55.0,2010.0,UNCON,
2MASS J01531463-6744181,,J01531463-6744181,28.310833333333335,-67.73833333333333,58.0,?,L2,,,,,,16.41,15.11,14.42,,,,,,,,,,2008.0,,
SDSS J093600.12+043147.9,,J09360011+0431480,144.00041666666667,4.53,54.0,?,L2,,22.89,,20.86,,16.12,15.13,14.48,,,,,,,,,,2010.0,,
2MASS J17392515+2454421,,J17392515+2454421,264.855,24.911666666666665,,,L2,,,,,,15.8,14.65,,13.95,,,,,,,,,2010.0,,
SDSS J115250.06+643252.5,,,178.20875,64.54805555555555,51.2,9.8,L2,,,,20.01,,15.6,14.64,14.09,,,,,,,,,,2010.0,,
SDSS J105118.96+561308.0,,J10511900+5613086,162.82916666666668,56.21888888888889,15.0,1,L2,,,,17.65,,13.24,12.42,11.91,,11.52,11.26,10.76,,,,,,2002.0,,
ULAS J121816.52+134953.8,,,184.56875,13.831666666666667,,,L2,,,,,,17.95,17.32,,16.6,16.53,16.35,>12.26,,,,,,2015.0,,
WISEA J054318.95+642250.2,,,85.82916666666667,64.38055555555555,,,L2,,,,,,,,,,,,,,,,,,2014.0,,
SDSS J100401.41+005354.9,,A J10040139+005355,151.00583333333333,0.898611111111111,89.0,?,L2,,,,,,16.98,16.43,15.07,,,,,,,,,,2004.0,,
WISE J121037.66-263710.6,,,182.65708333333333,-26.619722222222222,68.3,11.5,L2,,,,,,16.72,16.11,,15.28,14.93,14.44,>12.30,,,,,,2015.0,,
WISE J143942.79-110045.4,,,219.92833333333334,-11.0125,,,L2,,,,,,,,,,,,,,,,,,2015.0,UNCON,
2MASS J15485834-1636018,,J15485834-1636018,237.24291666666667,-16.600555555555555,21.0,3,L2,,,,,,13.89,13.1,12.64,,,,,,,,,,2000.0,,
WISE J144033.28-080406.9,,,220.13875,-8.06861111111111,54.0,4,L2,,,,,,,,,,,,,,,,,,2015.0,,
USco J160956.34-222245.5,,,242.48458333333335,-22.379444444444445,130.0,10,L2,,,,,,17.83,16.99,16.29,,,,,,,,,,2008.0,,
DENIS-P J1206501?393725,,J12065011-3937261,181.70875,-39.62388888888889,22.4,4.1,L2,,,,,17.67,14.32,13.6,,13.09,,,,,,,,,2010.0,,
SDSS J084407.00+284702.1,,J08440699+2847026,131.02916666666667,28.784166666666668,43.1,8.2,L2,,22.46,,20.17,,15.87,14.82,14.34,,,,,,,,,,2010.0,,
2MASS J12340590-5827495,,J12340590-5827495,188.52458333333334,-58.46388888888889,29.65,14.19,L2,,,,,,14.77,14,13.57,,,,,,,,,,2012.0,,
2MASS J030320.42-7312300,,J03032042-7312300,45.835,-73.20833333333334,50.0,?,L2,,,,,,16.14,15.1,14.32,,13.78,13.35,12.29,,,,,,2010.0,,
WISE J090611.85-061139.9,x,,136.54958333333335,-6.194444444444445,32.4,5.4,L2,,,,,,14.75,14.19,,13.7,13.25,12.82,12.21,,,,,,2015.0,,
WISE J223526.08+312822.3,x,,338.85875,31.472777777777775,75.5,12.7,L2,,,,,,17.05,16.19,,15.75,15.06,14.66,>12.62,,,,,,2015.0,,
DENIS-P J1234018?112407,,J12340183-1124078,188.5075,-11.402222222222223,24.6,4.9,L2,,,,,18.22,14.86,13.99,13.7,13.4,,,,,,,,,2010.0,,
2MASSI J0847287-153237,,J08472872-1532372,131.86958333333334,-15.543611111111112,13.07,0.6,L2,,,,,,13.51,12.63,12.06,,11.71,11.45,10.93,2200,,,,,2003.0,,
DENIS-P J1707252?013809,,J17072529-0138093,256.85541666666666,-1.6358333333333333,22.0,4.3,L2,,,,,17.81,14.29,13.57,13.07,12.86,,,,,,,,,2010.0,,
2MASS J05361998-1920396,,J05361998-1920396,84.08333333333333,-19.344444444444445,39.06,14.34,L2,,,,,,15.77,14.69,13.85,,13.26,12.79,12.55,,,,,,2004.0,,
SDSS J023547.56-084919.8,,J02354756-0849198,38.94833333333333,-8.822222222222223,45.0,3,L2,,22.34,,19.89,,15.57,14.81,14.19,,13.76,13.49 >,12.05,,,,,,2000.0,,
2MASS J14090310-3357565,,J14090310-3357565,212.26291666666665,-33.965833333333336,24.0,2,L2,,,,,,14.25,13.42,12.87,,12.57,12.28,12,,,,,,2003.0,,
2MASSW J0015447+351603,,J00154476+3516026,3.9366666666666665,35.2675,21.0,2,L2,,,,,,13.88,12.89,12.26,,11.79,11.54,10.91,2200,,,,,2000.0,,
2MASSI J0408290-145033,,J04082905-1450334,62.12125,-14.842500000000001,24.0,2,L2,,,,,,14.22,13.34,12.82,,,,,,,,,,2003.0,,
2MASSW J1311391+803222 A,x,J13113921+8032219,197.91333333333333,80.53944444444444,13.7,,L2,,,18.6,,15.1,12.76,12.12,11.68,,,,,,,,,,,,
ULAS J114105.18+091647.6 A,x,,175.27166666666668,9.280000000000001,,,L2,,25.16,,22.47,,17.35,16.69,,16.09,15.66,15.26,>12.17,,,,,,2015.0,,
2MASS J12073804-3909050 A,p,J12073804-3909050,181.90833333333333,-39.15138888888889,21.0,2,L2,,,,,,14.69,13.82,13.24,,12.89,12.54,12.24,,,,,,2006.0,,
SDSS J081653.72+344535.8,,,124.22375,34.76,54.1,10.4,L2,,,,20.72,,16.12,15.41,14.99,,,,,,,,,,2010.0,,
