Star Number,RA (Decimal Degrees),DEC (Decimal Degrees),ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
73,352.4930451213285,70.87867476376366,352.49647397013,70.87754377147,0.0131564,0.0075374,119.9,2227219715852312704,352.49653477468,0.5796,70.87757584511,0.4036,1.1327,0.4968,2.2801,8.495,4.482,0.77,7.217,0.583,275,2.1914,340.02,0.0,0.0,95,1.5697,0.1153,21,1.095,false,142.051,0.758438,20.306255,39.4089,6.47332,21.349558,143.373,19.356728,1.287,1.99283,,,0,,,193053524963893819,1237649769722872682,,,0.006418,0.178365,0.060068,20.297566,0.006377,143.193,-0.047,12.0078,9.2582,-0.452,5.738318
75,99.93156546268543,-57.75662084159427,99.92674977371,-57.7558427937,0.0014856,0.0014089,112.22,5484378739674925440,99.92672288515,0.0672,-57.75575727889,0.0676,0.5506,0.0683,8.0576,19.51,-3.228,0.092,19.241,0.087,347,-0.3424,347.28,0.0,0.0,31,,,28,0.986,false,1542.72,1.49864,17.716648,620.022,12.2538,18.357525,1266.01,16.9918,1.223,1.365725,,,0,,,,,471804792,,0.00295,0.021639,0.011452,17.716648,0.00295,1542.72,-0.032,1.4749,1.4201,-0.0372,9.664207
81,326.9121962850872,49.43448689513659,326.91052544529,49.43453199151,0.0125475,0.0111641,152.66,1979688316661249408,326.91050196224,0.5674,49.4345129455,0.5317,0.4045,0.6258,0.6464,5.493,-3.436,0.714,-4.285,0.752,269,1.8376,328.07,2.063,1.835,95,1.4748,0.1764,22,1.08,false,129.615,0.77772,20.40573,51.819,4.58353,21.05232,110.806,19.63649,1.255,1.415831,,,0,,,167323269104912101,,,,0.007073,0.096077,0.073522,20.405666,0.007073,129.623,-0.006,11.4698,12.2688,-0.0951,3.915038
82,104.83224165571208,-56.455081199954805,104.83386262039,-56.45304518422,0.0064596,0.0036503,18.72,5484217528079047808,104.83386262039,4.0313,-56.45304518422,6.2289,,,,,,,,,131,17.5591,658.8,25.609,25.16,3,,,11,,false,51.7395,1.1569,21.402811,235.846,10.744,19.406973,347.511,18.395473,11.275,1.011499,,,0,,,,,471548423,,0.024433,0.049539,0.042484,21.402811,0.024433,51.7395,10.057,4.0313,6.2289,0.3439,8.007662
85,206.13851875786096,-32.93171435486087,206.13816861631,-32.92916388177,0.0135834,0.0093876,134.89,6171369272750646528,206.13810075419,0.5335,-32.92918528153,0.5578,0.8688,0.6889,1.2611,13.691,-12.816,0.716,-4.815,0.715,165,0.7087,180.3,1.173,0.7695,95,1.3462,0.1479,12,1.038,false,203.698,1.14987,19.914902,72.5575,9.08109,20.686836,207.934,18.953083,1.377,1.733753,,,0,,,68482061381665268,,98634575,,0.00672,0.135916,0.059329,19.910468,0.006697,204.531,0.078,11.6837,11.6673,-0.3535,9.242457
86,144.2627408283491,84.11084481545035,144.24229346938,84.10909259412,0.0374912,0.0237427,151.67,1147622103375121024,144.24239169535,1.1945,84.10911743199,1.1317,1.7424,0.9958,1.7498,6.031,2.268,1.737,5.589,2.124,125,0.7257,133.57,0.0,0.0,95,0.599,0.3181,12,1.045,false,88.4506,0.823561,20.820616,39.2582,10.2322,21.353716,104.041,19.704882,1.62,1.648834,,,0,,,208931442418461763,,,,0.010478,0.282999,0.096926,20.81746,0.01045,88.7081,0.332,27.4475,34.8703,-0.3675,9.84133
89,44.20105406838489,59.7045747583754,44.20286710267,59.70609921642,0.0037587,0.0023105,19.95,461572816677934464,44.20288030939,0.0877,59.7061066901,0.1462,0.3372,0.1633,2.0644,2.253,1.499,0.157,1.682,0.23,542,-1.0749,523.85,0.0,1.735E-15,31,,,19,0.967,false,727.407,0.904461,18.532923,222.571,6.56134,19.469872,726.457,17.594872,1.305,1.875,,,0,,,179640442028318066,,,749129293,0.003068,0.032129,0.011582,18.532923,0.003068,727.407,-0.013,2.5223,3.62,0.3088,6.399934
91,295.90494279505657,22.313518770871198,295.90607134609,22.31318469612,0.0116692,0.009418,22.23,1827742750389809920,295.90605862642,0.4146,22.31317691751,0.4873,-0.2896,0.6627,-0.437,3.174,-2.648,0.614,-1.75,0.72,318,13.8902,837.46,3.54,14.45,95,1.4399,0.1326,19,1.604,false,222.855,1.19056,19.81731,45.3648,6.12405,21.196745,411.1,18.213028,2.048,2.983717,,,0,,,134772959060446371,,,562419660,0.006421,0.146596,0.016113,19.791943,0.006301,228.123,0.57,9.772,11.3744,0.1496,3.946295
93,48.828559029542554,82.98671365196392,48.81436576357,82.98829990946,0.0018435,0.0017477,39.6,569407350852793216,48.81446994423,0.0804,82.98829656283,0.0786,0.107,0.0887,1.2052,2.959,2.861,0.11,-0.753,0.112,372,0.5861,398.7,0.0,2.098E-15,31,,,26,1.021,false,1181.58,1.18917,18.006207,584.122,7.02125,18.422283,846.165,17.429258,1.21,0.993025,,,0,,,207580488145856807,,,865007091,0.002964,0.013346,0.016365,18.006207,0.002964,1181.58,-0.006,1.7872,1.8052,0.0524,8.457161
96,273.2459497337204,-18.148982590191338,273.24499014618,-18.14845624169,0.0237085,0.0169305,98.36,4095687346127532416,273.24498674964,1.0975,-18.14847051073,1.1429,1.0171,1.7569,0.5789,3.292,-0.726,1.48,-3.211,1.021,149,2.5886,201.68,3.038,2.895,95,1.5168,0.2645,11,1.154,false,150.545,1.23964,20.243198,32.2365,7.87592,21.567673,180.679,19.105627,1.414,2.462046,,,0,,,86222732449782203,,,,0.009355,0.265278,0.104553,20.226208,0.009223,152.92,0.013,23.5854,17.1015,-0.0982,3.790292
