Star Number,RA,Dec,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
6953,42.997183,-51.293986,42.99724441824,-51.29399787008,0.0055154,0.0029625,155.97,4748250314695330048,42.99724441824,3.5165,-51.29399787008,5.1798,,,,,,,,,107,13.4619,438.63,20.808,21.55,3,,,12,,false,56.3567,1.33832,21.310003,64.5764,16.7877,20.813356,124.103,19.513441,3.348,1.299915,,,0,,,,,504268895,,0.02593,0.282269,0.095428,21.310003,0.02593,56.3567,2.101,3.5165,5.1798,-0.442,0.144716
6997,34.496728,-45.412991999999996,34.49582684069,-45.41307537277,0.0082864,0.0071613,157.82,4943382773581235072,34.49695523864,0.4116,-45.41298561163,0.4304,15.4155,0.5642,27.3222,179.369,178.228,0.46,20.198,0.514,430,3.7826,612.42,2.917,4.463,95,1.1144,0.1146,28,1.132,false,139.399,0.64767,20.326715,50.6926,9.02425,21.076181,252.277,18.743202,2.173,2.332979,,,0,,,,,504828646,,0.005748,0.193302,0.028303,20.312012,0.005688,141.3,0.791,7.3322,8.1356,-0.1018,2.297074
7039,328.436478,-51.408657999999996,328.43649692691,-51.4087303855,0.0016191,0.0011101,14.4,6558549751167524352,328.43649692691,1.1481,-51.4087303855,1.5924,,,,,,,,,126,5.1549,219.22,2.967,2.055,3,,,11,,false,73.536,0.899823,21.021116,22.899,5.04116,21.939,131.476,19.45078,2.099,2.488218,,,0,,,,,,,0.013568,0.239038,0.111335,21.021116,0.013568,73.536,0.694,1.1481,1.5924,0.183,0.264031
7040,38.327338,-5.656503,38.32720373103,-5.65646699294,0.020995,0.0177052,85.35,2488836962808259328,38.32739782033,0.9087,-5.65655450652,0.7557,11.3289,0.879,12.8889,47.71,43.457,1.333,-19.691,1.102,161,1.632,218.96,1.854,0.8643,95,1.1285,0.2407,12,1.092,false,106.954,1.02407,20.614378,22.4248,5.08789,21.96172,220.29,18.890406,2.269,3.071314,,,0,,,101210383272812629,1237679439889695653,15402086,,0.010755,0.246354,0.063309,20.588787,0.010521,109.505,0.778,20.9751,17.7288,0.0277,0.498174
7049,32.480395,-40.637968,32.48046099932,-40.63801947655,0.0027764,0.0018027,132.68,4957315952431301504,32.48046099932,2.3789,-40.63801947655,2.3019,,,,,,,,,94,2.3542,123.42,6.698,7.174,3,,,9,,false,65.5114,1.16979,21.146574,19.3153,6.40914,22.123789,102.311,19.723095,1.857,2.400694,,,0,,,,,504993123,,0.019582,0.360276,0.163989,21.146574,0.019582,65.5114,0.465,2.3789,2.3019,-0.4058,0.258552
7053,53.973071,-54.517592,53.97321278333,-54.51755688945,0.0014379,0.0012384,151.98,4732477648596876032,53.97321278333,1.2851,-54.51755688945,1.3963,,,,,,,,,153,5.7015,268.37,6.882,5.615,3,,,15,,false,77.9902,0.966077,20.957266,40.6605,9.39697,21.31561,137.269,19.403963,2.281,1.911648,,,0,,,,,502353153,,0.013729,0.250938,0.056451,20.957266,0.013729,77.9902,0.959,1.2851,1.3963,-0.1234,0.322111
7090,77.50200199999999,-52.481097999999996,77.5021056852,-52.48111552072,0.0040477,0.0016648,82.68,4771434204561601664,77.5021056852,4.0203,-52.48111552072,1.7299,,,,,,,,,68,2.9795,101.79,6.594,2.667,3,,,7,,false,71.9211,1.39982,21.045225,,,,103.254,19.713127,,,,,0,,,,,501041759,,0.021311,,0.21648,21.045225,0.021311,71.9211,,4.0203,1.7299,0.2474,0.235916
7091,357.39716699999997,-55.721435,357.3971734955,-55.72149136225,0.0058474,0.0015138,129.8,6496787404191150208,357.3971734955,4.5959,-55.72149136225,3.9194,,,,,,,,,71,2.2081,93.91,5.559,2.383,3,,,8,,false,59.3398,1.00594,21.254002,36.1925,16.0182,21.441996,102.392,19.722229,2.335,1.719767,,,0,,,,,,,0.018611,0.480537,0.169326,21.254002,0.018611,59.3398,1.038,4.5959,3.9194,-0.8709,0.203331
7135,38.702551,-58.791598,38.70109995285,-58.79125166627,0.0264174,0.0182958,179.86,4738352236144597760,38.70284619317,0.9606,-58.79162557897,0.9438,15.0758,1.1207,13.4517,220.284,203.586,1.145,-84.128,1.673,178,5.1144,297.53,4.359,4.636,95,0.6334,0.2981,16,1.286,false,95.1612,0.882012,20.741217,26.2134,4.66809,21.792233,162.196,19.222794,1.98,2.569439,,,0,,,,,499886493,,0.010434,0.193368,0.06693,20.72236,0.010267,96.8283,0.563,18.2959,26.4174,-0.0019,2.980077
7174,53.036694,-58.013982999999996,53.03712231197,-58.01386533217,0.0189435,0.0142745,171.49,4729289610336550656,53.03673559128,0.6566,-58.01398193066,0.668,12.7115,0.7147,17.7864,53.035,-46.092,0.893,-26.235,1.19,209,0.0175,219.25,0.881,0.21,95,1.0091,0.2119,22,0.999,false,94.4968,0.880626,20.748825,47.5061,14.0405,21.14667,165.517,19.20079,2.254,1.945879,,,0,,,,,499844159,,0.010487,0.320903,0.055678,20.740938,0.010416,95.1857,0.927,14.3928,18.8538,-0.0836,0.92009
