Star Number,RA,Dec,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
15394,86.75987099999999,-47.513085,86.75990857246,-47.51307027971,0.0026238,0.0020675,149.6,4795814912836086016,86.75990857246,2.2233,-47.51307027971,2.4931,,,,,,,,,229,40.074,2589.86,21.535,98.86,3,,,21,,false,109.559,2.22971,20.58825,39.0153,8.90621,21.360455,260.4,18.708794,2.733,2.651661,,,0,,,,,501402979,,0.022268,0.247862,0.030008,20.58825,0.022268,109.559,1.304,2.2233,2.4931,-0.2055,0.105615
15410,316.516066,-55.357301,316.51566397138,-55.35733453608,0.0113445,0.0092477,130.26,6463862799080778240,316.51618783398,0.5893,-55.3573332959,0.5025,7.0825,0.798,8.8758,67.004,67.003,0.664,0.279,0.643,298,5.265,493.08,2.804,4.122,95,1.1207,0.1498,19,1.224,false,155.331,0.830479,20.209223,57.144,15.7399,20.946115,268.647,18.67494,2.097,2.271175,,,0,,,,,488570231,,0.006426,0.299071,0.042613,20.195624,0.00636,157.289,0.724,10.5196,10.1762,-0.1989,0.83154
15431,5.384358,-45.907095999999996,5.38480084717,-45.90657164677,0.0112513,0.0063383,138.02,4978642565295799296,5.38434699967,0.398,-45.90722058481,0.4392,14.8494,0.6774,21.9204,162.382,-71.055,0.555,-146.011,0.579,593,5.1999,878.85,3.207,6.491,95,1.1478,0.1154,23,1.155,false,148.455,0.559653,20.258379,38.6909,5.51621,21.369518,263.007,18.697979,2.032,2.671539,,,0,,,,,503929801,,0.004934,0.15482,0.025396,20.237798,0.00487,151.296,0.6,8.8793,9.3768,-0.5161,2.189498
15448,2.089585,-5.0257879999999995,2.08948927535,-5.02551034259,0.0065382,0.0035471,77.87,2444496201479980672,2.08963188008,0.3446,-5.02585140301,0.2223,21.0132,0.3933,53.4213,83.129,31.963,0.407,-76.739,0.241,456,11.4442,1596.97,2.017,30.61,95,0.9963,0.0554,16,1.404,false,754.111,2.52104,18.493778,55.7029,5.57127,20.973846,1536.38,16.781649,2.111,4.192198,,,0,,,101960020895619543,1237672796107178304,13116950,,0.004557,0.108628,0.007575,18.468187,0.00449,772.096,0.464,6.4356,3.73,0.2581,1.056871
15496,37.949768999999996,-0.762606,37.94989264442,-0.76230027392,0.0174115,0.0114241,41.94,2500089261729079680,37.94980198023,0.7006,-0.76267196764,0.6913,8.1133,0.7422,10.9308,86.083,-20.398,0.902,-83.631,0.946,159,1.1295,188.41,1.648,0.8188,95,0.9983,0.2071,13,1.063,false,123.93,1.00305,20.454422,40.2101,13.8796,21.327705,224.625,18.86925,2.137,2.458456,,,0,,,107080379497955573,1237663783140262922,15586940,,0.009209,0.374783,0.05314,20.437495,0.00908,125.878,0.736,14.4095,15.0346,0.3962,1.187202
15511,16.717126,-48.937992,16.71719119418,-48.93823464855,0.0237576,0.0145405,170.82,4932095359010344448,16.71721410102,0.9123,-48.93797414366,1.113,2.2939,1.4449,1.5877,58.711,3.386,0.931,58.614,1.458,210,2.8906,273.46,4.169,2.142,95,1.35,0.2818,19,1.145,false,75.254,0.781523,20.996042,69.9266,28.8682,20.726936,128.281,19.477488,2.634,1.249449,,,0,,,,,,,0.011607,0.448239,0.06321,20.997722,0.011624,75.1377,1.392,14.8463,23.5677,-0.1589,0.887035
15535,34.432354,-46.642209,34.43163495828,-46.64222344076,0.0071966,0.0047238,158.77,4940257514856984960,34.43251126049,0.264,-46.64221903916,0.3171,6.7797,0.3654,18.5519,135.37,135.366,0.32,0.991,0.435,424,0.9999,517.09,1.05,1.079,95,0.9808,0.0879,29,1.034,false,187.883,0.687959,20.00265,32.6742,5.74308,21.553028,310.757,18.516844,1.828,3.036184,,,0,,,,,504822285,,0.004837,0.190858,0.021656,19.977059,0.004761,192.364,0.342,5.1164,6.9229,-0.2808,1.777934
15538,38.640149,-0.250496,38.64015531431,-0.25056633939,0.0017458,0.0011096,40.4,2500229002784652800,38.64015531431,1.4122,-0.25056633939,1.5115,,,,,,,,,113,4.2362,182.04,5.718,4.788,3,,,10,,false,109.499,1.21298,20.58884,32.2037,7.28538,21.568777,184.169,19.084854,1.976,2.483923,,,0,,,,,15596276,,0.012339,0.24564,0.024906,20.58884,0.012339,109.499,0.572,1.4122,1.5115,0.42,0.25424
15541,9.081453999999999,-1.501053,9.08123074632,-1.50072787248,0.0313174,0.0150122,55.56,2542443342982279040,9.08151811118,0.7662,-1.5011208868,0.5943,7.1361,0.9257,7.7089,109.532,64.635,1.704,-88.428,1.357,363,1.6319,454.73,2.811,3.57,95,1.1372,0.122,13,1.061,false,119.825,0.676576,20.490997,29.3613,4.26829,21.669106,222.704,18.878574,2.104,2.790531,,,0,,,106190090814379231,1237679436133040721,13480184,,0.006721,0.15786,0.045994,20.468492,0.006607,122.335,0.654,27.1873,21.61,0.5997,1.419678
15559,6.1685039999999995,-46.693498,6.16829902178,-46.69334302107,0.0171502,0.0082081,153.98,4977601873244583296,6.16859840311,0.4756,-46.69354128193,0.7016,8.1456,0.9747,8.3568,64.223,46.203,0.642,-44.609,0.971,574,3.566,734.42,2.465,3.004,95,0.995,0.132,21,1.107,false,99.2104,0.53833,20.695974,34.446,5.48377,21.495697,171.758,19.160603,2.078,2.335095,,,0,,,,,,,0.006504,0.172871,0.037487,20.681234,0.006432,100.567,0.696,10.536,15.827,-0.5361,0.753299
